Instituicao;cod_ibge;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Santï¿½polis do Aguapeï¿½ - SP;3548401;SP;4856;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40427582,19
Prefeitura Municipal de Ourinhos - SP;3534708;SP;115139;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;675049538,4
Prefeitura Municipal de Dirce Reis - SP;3513850;SP;1805;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28156638,48
Prefeitura Municipal de Bebedouro - SP;3506102;SP;77612;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;431640887,55
Prefeitura Municipal de Mariï¿½polis - SP;3528908;SP;4098;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28575337,48
Prefeitura Municipal de Praia Grande - SP;3541000;SP;336454;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2315923274,89
Prefeitura Municipal de Floreal - SP;3515905;SP;2884;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35229454,68
Prefeitura Municipal de Rinï¿½polis - SP;3543808;SP;9940;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;55748895,91
Prefeitura Municipal de Braï¿½na - SP;3507704;SP;5795;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38226530,43
Prefeitura Municipal de ï¿½lvares Machado - SP;3501301;SP;25078;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;117339917,67
Prefeitura Municipal de Bernardino de Campos - SP;3506300;SP;11168;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;67332336,41
Prefeitura Municipal de Itaquaquecetuba - SP;3523107;SP;379082;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1207081838,37
Prefeitura Municipal de Andradina - SP;3502101;SP;57245;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;282771653,95
Prefeitura Municipal de Guaratinguetï¿½ - SP;3518404;SP;123192;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;517877631,25
Prefeitura Municipal de Juquiï¿½ - SP;3526100;SP;18627;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;96305786,11
Prefeitura Municipal de Pitangueiras - SP;3539509;SP;40430;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;211419819,28
Prefeitura Municipal de Riolï¿½ndia - SP;3544202;SP;12856;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;74543699,92
Prefeitura Municipal de Barra do Turvo - SP;3505401;SP;7606;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57293332,18
Prefeitura Municipal de Jundiaï¿½ - SP;3525904;SP;426935;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;3664002453,68
Prefeitura Municipal de Igaratï¿½ - SP;3520202;SP;9631;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;78608138,44
Prefeitura Municipal de Ribeirï¿½o do Sul - SP;3543204;SP;4537;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38763114,44
Prefeitura Municipal de Sales Oliveira - SP;3544905;SP;12103;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;78220351,61
Prefeitura Municipal de Macedï¿½nia - SP;3528205;SP;3686;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35180699,04
Prefeitura Municipal de Sï¿½o Luï¿½s do Paraitinga - SP;3550001;SP;10693;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;65140609,34
Prefeitura Municipal de Caraguatatuba - SP;3510500;SP;125194;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1273022737,00
Prefeitura Municipal de Jumirim - SP;3525854;SP;3467;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40554333,39
Prefeitura Municipal de Platina - SP;3539707;SP;3606;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;38685426,28
Prefeitura Municipal de Salmourï¿½o - SP;3545100;SP;5372;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;30392264,45
Prefeitura Municipal de Caieiras - SP;3509007;SP;104044;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;503213777,57
Prefeitura Municipal de Riversul - SP;3543501;SP;5364;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37322619,3
Prefeitura Municipal de Salto - SP;3545209;SP;120779;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;615165606,53
Prefeitura Municipal de Iaras - SP;3519253;SP;9786;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;49029807,2
