"Municipio gestor";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
"352640 Laranjal Paulista";770;-;332;8509;-;1170;198;-;-;-;10;-;297;-;8;1267;25631;754;8;-;-;28;430;54;-;200;-;1;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;176;39969
"352650 Lavinia";5378;-;77;10;-;-;-;-;-;-;-;-;-;-;-;1585;4552;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;1374;13093
"352660 Lavrinhas";-;8;-;-;-;115;40;-;-;-;-;-;17;-;-;-;59;73;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;790;1155
"352670 Leme";24414;499;3896;43430;105;6017;1344;231;-;-;-;-;1797;-;-;8259;97340;1877;3;-;1586;4;5633;160;-;1127;-;10;32;-;1;8;-;-;-;1;-;715;4;-;32;-;-;-;-;-;-;159;31;-;-;198715
"352680 Lencois Paulista";50666;453;5431;34244;40;1333;983;364;130;-;166;-;775;-;-;7547;80062;9352;878;-;-;-;1696;40;-;175;-;283;-;-;12;-;8;-;-;-;-;160;-;103;-;-;-;-;-;-;-;-;-;-;-;194901
"352690 Limeira";3735;-;1706;124077;1788;11236;3336;997;181;22;340;-;4176;1602;1539;1358;116966;6462;529;741;1820;1539;4100;-;-;136;-;6;153;3;-;25;2;-;-;1;121;819;-;2;16;-;-;-;-;-;-;229;21;-;-;289784
"352700 Lindoia";54;-;21;38462;-;391;1712;-;-;-;145;-;2323;-;-;-;1514;550;-;-;-;-;1406;-;-;129;-;41;-;-;6;-;-;-;-;-;-;139;3;-;-;-;-;-;-;-;-;72;-;-;-;46968
"352710 Lins";302;276;51;16544;-;2871;299;50;8;-;-;-;448;-;-;356;16508;-;-;-;-;-;199;-;-;160;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;20;-;-;-;38185
"352720 Lorena";706;61;417;29549;308;3412;1044;561;54;-;5;-;3575;-;-;3;26766;183;26;-;-;-;3004;-;-;268;-;41;-;-;-;-;-;-;-;-;-;457;-;-;-;-;-;-;-;-;-;37;-;-;-;70477
"352725 Lourdes";2908;-;258;20;-;-;-;-;-;-;-;-;-;-;-;57;8079;-;-;-;-;-;257;17;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;11619
"352730 Louveira";-;658;759;32857;54;2668;1662;370;54;22;93;-;2520;-;-;295;30575;2439;181;-;-;-;30;10;-;341;-;3;16;-;30;6;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;11;-;-;-;75656
"352740 Lucelia";10382;-;358;6294;-;580;-;-;-;-;-;-;93;-;-;964;15531;1554;2;-;-;-;479;-;-;37;-;15;-;1;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;22;-;-;-;36400
"352750 Lucianopolis";935;-;154;-;-;-;-;-;-;-;-;-;-;-;-;123;3699;-;-;-;-;-;243;-;-;1;-;2;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;76;-;-;-;5255
"352760 Luis Antonio";102;-;305;4893;-;570;-;-;-;-;-;-;-;-;-;1100;11849;-;-;-;-;-;221;-;-;88;-;24;-;-;-;-;-;-;-;-;-;70;10;-;-;-;-;-;-;-;-;-;-;-;-;19232
"352770 Luiziania";2520;3;53;-;-;-;-;-;-;-;-;-;21;-;-;250;5366;56;-;-;-;-;193;-;-;7;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;8488
"352780 Lupercio";-;2;-;1989;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1991
"352790 Lutecia";-;-;-;3277;-;-;-;-;-;-;-;-;-;-;6;-;1090;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4373
"352800 Macatuba";5586;105;454;5237;-;782;68;-;-;-;-;-;169;-;-;693;18287;958;-;-;-;-;943;-;-;15;-;6;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;17;-;-;-;33536
"352810 Macaubal";-;42;23;205;-;-;-;-;-;-;-;-;48;-;-;-;2420;350;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3092
"352820 Macedonia";1818;6;231;-;-;-;-;-;-;-;-;-;49;-;-;1;912;68;-;-;-;-;43;-;-;16;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3146
"352830 Magda";-;2;-;1277;-;-;-;-;-;-;-;-;-;-;-;-;383;357;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;2039
"352840 Mairinque";95;-;185;-;-;1130;249;-;-;-;-;-;220;-;-;365;12899;338;-;-;-;-;379;-;-;23;-;-;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;15978
"352850 Mairipora";3183;195;522;47511;6;7065;342;-;-;-;-;-;517;-;-;2134;51480;598;104;-;-;-;1033;-;-;259;-;277;-;-;-;1;1;-;-;-;-;249;-;-;-;-;-;-;-;-;-;30;-;-;-;115507
"352860 Manduri";-;263;-;4462;-;-;-;-;-;-;-;-;-;-;-;65;4767;189;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9746
"352870 Maraba Paulista";1395;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1402
"352880 Maracai";6106;9117;145;467;-;3;-;-;-;-;-;-;75;-;-;227;12939;580;4;-;-;1;667;-;-;7;-;-;-;-;-;-;5;-;-;-;-;82;-;-;-;-;-;-;-;-;-;25;-;-;-;30450
"352885 Marapoama";1009;14;204;-;-;2;-;-;-;-;-;-;5;-;-;173;5813;568;-;-;-;-;269;-;-;7;-;2;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;16;-;-;327;8443
"352890 Mariapolis";2843;-;87;-;-;2;-;-;-;-;-;-;8;-;-;330;2872;132;-;-;-;-;136;-;-;10;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;18;-;-;-;6456
"352900 Marilia";636;537;2616;68712;1831;7887;2361;398;119;42;263;28;7494;74;-;1238;61428;3779;281;801;2845;94;435;197;-;891;-;30;184;6;6;-;3;-;-;-;-;107;-;113;28;64;-;-;-;54;-;109;108;-;-;165799
"352910 Marinopolis";134;36;21;-;-;-;-;-;-;-;-;-;-;-;-;4;1444;54;-;-;-;-;166;-;-;23;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;27;1913
"352920 Martinopolis";54;1;1;3824;-;510;112;-;-;-;-;-;167;-;-;220;9766;1092;22;-;-;-;87;-;-;60;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;28;-;-;-;15945
"352930 Matao";8403;139;2004;11;-;4;-;-;-;-;-;-;21;-;-;4729;38433;-;-;-;-;-;2249;1;-;107;-;27;-;-;-;-;-;-;-;-;-;375;1;-;-;-;-;-;-;-;-;46;-;-;-;56550
"352940 Maua";603;16207;6502;122179;-;10971;1246;255;-;-;74;-;2130;101;-;12033;189631;575;627;-;-;55;2040;50;-;852;-;4;-;-;3;64;3;-;-;-;-;202;-;3;-;-;-;-;-;-;-;122;-;-;-;366532
"352950 Mendonca";4814;18;77;1215;-;3;-;-;-;-;-;-;21;-;-;845;4585;679;-;-;-;-;144;-;-;1;-;1;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;26;-;-;1005;13456
"352960 Meridiano";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;293
"352965 Mesopolis";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352970 Miguelopolis";91;33;-;1184;-;619;-;-;-;-;-;-;147;-;-;454;12032;-;2;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14569
"352980 Mineiros do Tiete";5163;-;724;-;-;1;-;-;-;-;-;-;-;-;-;880;8564;-;-;-;-;-;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;15541
"353000 Mira Estrela";1691;22;1129;-;-;-;-;-;-;-;-;-;12;-;-;-;767;338;-;-;-;-;-;22;-;1;-;4;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;12;4010
"352990 Miracatu";794;134;-;12154;-;718;173;-;-;-;-;-;115;-;-;1109;22561;240;112;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38136
"353010 Mirandopolis";5630;2;139;439;-;10;-;-;-;-;-;-;71;-;-;1656;32764;1184;-;-;-;-;561;-;-;12;-;-;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;43;-;-;-;42613
"353020 Mirante do Paranapanema";3719;46;38;4623;-;610;387;-;-;-;-;-;1051;-;-;827;10968;559;-;-;-;-;89;-;-;43;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;24;-;-;826;23814
"353030 Mirassol";1888;262;1061;13027;-;1918;274;-;-;-;-;-;990;-;-;1515;44057;1105;1;-;-;-;1918;-;-;236;-;3;17;-;-;2;-;-;-;-;-;307;-;-;-;-;-;-;-;-;-;55;-;-;-;68636
"353040 Mirassolandia";1961;43;426;-;-;-;-;-;-;-;-;-;-;-;-;620;5280;-;-;-;-;-;183;-;-;4;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;8588
"353050 Mococa";771;-;18;27206;59;2381;395;146;-;-;-;-;759;-;-;144;56215;3590;40;-;-;-;1549;1;-;200;-;1;2;-;-;-;1;-;-;-;-;177;-;-;-;-;-;-;-;-;-;71;-;-;-;93726
"353060 Mogi das Cruzes";5084;467;7151;155814;2186;10082;4937;992;145;57;405;-;9195;1173;-;9362;188498;12747;1902;-;-;580;1422;250;-;621;-;85;78;-;-;-;25;-;-;-;-;293;-;1;-;-;-;-;-;-;-;-;-;-;-;413552
"353070 Mogi Guacu";2748;-;2649;63202;1;2050;1447;245;-;-;83;-;1573;43;-;1526;70152;1105;135;592;-;69;228;-;-;271;-;13;176;4;-;5;-;-;-;-;-;179;1;73;-;-;-;-;-;-;-;-;-;-;-;148570
"353080 Mogi Mirim";10954;227;4629;25210;-;3085;540;260;-;-;28;-;1622;26;-;2253;63917;3704;96;-;2256;14;2640;1;-;202;-;32;3;14;2;3;-;-;-;-;-;270;-;14;14;-;-;-;-;-;-;-;14;-;-;122030
"353090 Mombuca";5891;32;873;1;-;78;-;-;-;-;-;-;29;-;-;94;3984;490;-;-;-;-;473;-;-;14;-;3;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;45;-;-;-;12041
"353100 Moncoes";107;17;-;373;-;-;-;-;-;-;-;-;-;-;-;-;-;204;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;711
"353110 Mongagua";15;120;1437;29641;177;3576;722;353;-;-;-;-;1092;10;-;4282;49069;385;138;-;-;-;187;-;-;42;-;96;-;-;-;-;1;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;7995;99364
"353120 Monte Alegre do Sul";4294;642;233;5558;-;21;77;-;-;-;-;-;59;-;-;582;9274;330;-;-;-;-;335;-;-;60;-;1;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;21493
"353130 Monte Alto";4701;429;148;18321;23;1533;521;183;32;-;15;-;616;-;-;30558;56711;1377;24;-;-;-;2532;4;-;590;-;1;-;-;-;-;-;-;-;-;-;471;3;-;-;-;-;-;-;-;-;63;-;-;-;118856
"353140 Monte Aprazivel";-;-;526;-;-;-;272;-;-;-;-;-;-;-;-;-;1953;811;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;25;-;-;-;3618
"353150 Monte Azul Paulista";-;2555;586;11116;-;829;799;-;-;-;-;-;890;-;-;212;22095;1973;12;-;-;-;-;-;-;31;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41099
"353160 Monte Castelo";2340;9;1374;30;-;-;-;-;-;-;-;-;56;-;-;297;7320;145;-;-;-;-;107;-;-;3;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;11703
"353180 Monte Mor";1079;113;970;22751;-;1898;315;-;-;-;4;-;688;-;9;1899;42652;660;323;-;-;4;1500;-;-;152;-;-;-;-;-;-;-;-;-;-;-;484;-;-;-;-;-;-;-;-;-;60;-;-;-;75561
"353170 Monteiro Lobato";238;9;-;-;-;-;-;-;-;-;-;-;-;-;-;47;3008;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;3391
"353190 Morro Agudo";11533;8230;1;11634;12;1155;535;18;33;-;32;-;778;-;-;46;25279;278;16;-;-;-;1347;59;-;54;-;8;2;-;-;-;24;-;-;-;-;370;-;-;-;-;-;-;-;-;-;81;-;-;-;61525
"353200 Morungaba";780;-;65;332;-;9;-;-;-;-;-;-;-;-;-;403;16236;749;-;-;-;-;333;-;-;2;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;18966
"353205 Motuca";13;1073;158;-;-;-;-;-;-;-;-;-;29;-;-;194;3730;156;-;-;-;-;83;-;-;4;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;20;-;-;-;5466
"353210 Murutinga do Sul";465;18;-;2014;-;-;-;-;-;-;-;-;-;-;2;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1247;3770
"353215 Nantes";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;134
"353220 Narandiba";-;9;-;2367;-;-;-;-;-;-;-;-;-;-;-;-;2049;413;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;308;5146
"353230 Natividade da Serra";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;24;708;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;741
"353240 Nazare Paulista";-;884;-;726;-;381;-;-;-;-;-;-;107;-;-;44;6129;-;1;-;-;-;-;-;-;20;-;1;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;8312
"353250 Neves Paulista";1309;41;53;1183;-;9;-;-;-;-;-;-;36;-;-;46;4696;365;-;-;-;-;430;-;-;1;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;10;-;-;1360;9578
"353260 Nhandeara";149;38;1263;-;-;3;86;-;-;-;-;-;21;-;-;17;631;242;-;-;-;-;219;-;-;-;-;2;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;643;3353
"353270 Nipoa";-;1117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1117
"353280 Nova Alianca";757;53;730;26;-;6;100;-;-;-;-;-;125;-;-;122;4292;609;-;-;-;-;89;9;-;19;-;19;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;28;-;-;129;7131
"353282 Nova Campina";186651;45;368;1126;-;-;20;-;-;-;-;-;-;-;-;1253;5181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194644
"353284 Nova Canaa Paulista";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1220;1433
"353286 Nova Castilho";-;-;-;692;-;-;-;-;-;-;-;-;-;-;-;-;6;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1516;2253
"353290 Nova Europa";344;14;-;1586;-;265;125;-;-;-;-;-;79;-;204;218;4751;379;-;-;-;-;56;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;839;8897
"353300 Nova Granada";4389;-;3146;-;-;-;-;-;-;-;-;-;287;-;-;406;17111;93;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25474
"353310 Nova Guataporanga";395;4;55;-;-;-;-;-;-;-;-;-;-;-;-;138;2129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2721
"353320 Nova Independencia";6;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"353330 Nova Luzitania";1726;7;9;-;-;-;-;-;-;-;-;-;-;-;-;218;2575;-;-;-;-;-;144;-;-;4;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;4712
"353340 Nova Odessa";2034;-;194;-;-;240;-;-;-;-;-;-;507;-;-;2672;43213;830;6;-;-;-;777;-;-;91;-;-;300;-;-;-;2;-;-;1;-;183;-;-;-;-;-;-;-;-;-;9;-;-;-;51059
"353325 Novais";1698;10;18;-;-;-;-;-;-;-;-;-;4;-;-;115;4899;210;-;-;-;-;148;-;-;2;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;7;-;-;-;7125
"353350 Novo Horizonte";2863;779;1862;12054;15;1522;413;242;-;-;36;-;492;-;-;1412;45432;624;11;-;-;-;1398;1;-;83;-;14;-;1;2;5;1;-;-;-;-;262;-;34;-;-;-;-;-;-;-;22;-;-;1849;71429
"353360 Nuporanga";1;93;-;2214;-;-;-;-;-;-;-;-;11;-;-;181;7111;1108;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10725
"353370 Ocaucu";-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;310
"353380 Oleo";-;64;-;578;-;-;35;-;-;-;-;-;5;-;-;-;122;177;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;987
"353390 Olimpia";161521;771;3746;25647;91;2784;789;126;26;-;-;-;991;-;-;4026;41146;1030;113;-;-;-;1477;333;-;101;-;3;-;-;-;-;-;-;-;-;-;257;-;-;-;-;-;-;-;-;-;22;-;-;3755;248755
"353400 Onda Verde";45;34;1852;-;-;-;-;-;-;-;-;-;30;-;-;222;6772;215;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;9;-;-;-;9453
"353410 Oriente";140;1020;-;-;-;-;-;-;-;-;-;-;-;-;-;63;806;246;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2280
"353420 Orindiuva";-;131;-;3325;-;137;108;-;-;-;-;-;-;-;-;-;905;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;4903
"353430 Orlandia";161;-;246;16;137;1434;-;35;-;-;-;-;133;-;-;649;17065;795;4;-;-;-;407;-;-;55;-;5;3;-;-;-;22;-;-;-;-;175;-;-;-;-;-;-;-;-;-;-;-;-;-;21342
"353440 Osasco";40064;732;28872;590097;2235;23998;7754;1788;422;-;577;-;6046;11;-;25231;461787;1937;2;-;-;11;15915;66;-;1163;-;140;-;-;-;26;3;-;-;-;-;3052;-;391;-;-;-;-;-;-;-;246;-;-;-;1212566
"353450 Oscar Bressane";2164;-;211;-;-;-;-;-;-;-;-;-;2;-;-;569;4407;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;3;-;-;-;-;-;-;-;-;-;-;-;-;7473
"353460 Osvaldo Cruz";6955;141;100;5287;-;1209;118;19;-;-;18;-;490;-;-;734;13485;554;74;-;-;-;276;-;-;179;-;3;40;-;-;-;4;-;-;-;3;85;-;-;-;-;-;-;-;-;-;50;-;-;8532;38356
"353470 Ourinhos";10426;357;602;64381;1411;3850;549;295;7;-;43;7;669;1574;-;362;41299;866;106;349;1730;1086;271;-;-;438;-;9;5;-;1;19;2;-;-;3;-;73;1;41;10;-;-;-;-;-;-;-;5;-;-;130847
"353480 Ouro Verde";2637;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;820;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;164;3621
"353475 Ouroeste";8557;44;101;6081;-;559;-;-;-;-;-;-;169;-;-;525;12420;200;13;-;-;-;253;-;-;29;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;27;-;-;-;29042
"353490 Pacaembu";9537;103;534;1608;-;-;173;-;-;-;-;-;117;-;-;581;12514;452;-;-;-;-;353;-;-;1;-;1;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;25989
"353500 Palestina";5777;32;373;1;-;425;129;-;-;-;-;-;240;-;-;1183;15652;850;-;-;-;-;532;2;-;30;-;-;-;-;-;-;-;-;-;-;-;208;-;-;-;-;-;-;-;-;-;41;-;-;4413;29888
"353510 Palmares Paulista";5442;56;379;-;-;-;110;-;-;-;-;-;39;-;-;644;15635;579;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;31;-;-;571;23597
"353520 Palmeira d'Oeste";-;90;-;1749;-;69;53;-;-;-;-;-;659;-;-;147;4361;216;373;-;-;-;-;-;-;23;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7777
"353530 Palmital";17431;258;351;9916;59;741;196;5;-;-;11;-;1271;-;-;858;21972;651;-;-;-;-;2388;329;-;193;-;1;123;1;-;1;-;-;-;-;-;208;1;1;-;-;-;-;-;-;-;50;-;-;3315;60331
"353540 Panorama";5266;41;-;-;-;92;-;-;-;-;-;-;-;-;-;3;1081;215;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;5990;12900
"353550 Paraguacu Paulista";7160;1;20;10066;14;1664;161;2;-;-;25;-;300;-;-;114;11171;526;95;-;-;-;234;97;-;93;-;6;11;-;-;2;-;-;-;-;-;62;-;3;-;-;-;-;-;-;-;-;-;-;334;32161
"353560 Paraibuna";-;32;203;4;-;825;-;-;-;-;-;-;171;-;-;316;7439;207;3;-;-;-;-;-;-;32;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9233
"353570 Paraiso";-;45;1;-;-;-;-;-;-;-;-;-;-;-;-;167;3423;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;3754
"353580 Paranapanema";2233;38;8;2037;-;166;31;-;-;-;-;-;53;-;-;650;11675;272;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;17329
"353590 Paranapua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;600
"353610 Pardinho";1199;30;131;1591;-;-;78;-;-;-;-;-;61;-;-;477;7340;255;-;-;-;-;466;-;-;41;-;42;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;81;-;-;-;11843
"353620 Pariquera-Acu";17;233;-;8723;-;-;-;-;-;-;-;-;5;-;-;36;848;527;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;10484
