"Municipio gestor";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
"350530 Barra Bonita";2562;-;112;1025;-;946;253;76;37;-;45;-;583;-;-;1152;17241;1279;-;-;-;-;1353;-;-;151;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;36;-;-;-;26995
"350535 Barra do Chapeu";-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212
"350540 Barra do Turvo";-;49;381;2687;-;344;-;-;-;-;-;-;49;-;-;330;4851;-;-;-;-;-;-;-;-;18;-;9;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8727
"350550 Barretos";43705;-;1051;58404;40;4891;1497;765;1;-;42;-;686;23;2;6073;109685;1265;128;-;2238;1;2838;445;-;427;-;98;-;-;3;11;1;-;-;-;-;704;-;-;21;-;-;-;-;-;-;59;25;-;-;235129
"350560 Barrinha";1718;-;19;32;-;257;7;-;-;-;-;-;-;-;-;1013;10961;506;-;-;-;-;345;-;-;36;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;14992
"350570 Barueri";24322;952;35238;436033;3246;25317;29914;3455;1147;14;2666;-;22745;251;-;17115;466404;4560;568;-;2934;15;8148;922;-;912;-;169;207;5;5;3;-;-;-;-;-;886;1;120;10;-;-;-;-;-;-;55;10;-;34;1088383
"350580 Bastos";5615;97;-;4861;-;992;-;-;-;-;-;-;80;-;-;192;11514;1095;-;-;-;-;624;1;-;32;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;21;-;-;1065;26338
"350590 Batatais";17136;303;1809;42457;-;2757;970;100;-;-;-;-;2326;-;-;1836;52659;386;47;-;1491;-;490;-;-;115;-;24;-;-;-;7;-;-;-;-;-;126;1;-;10;-;-;-;-;-;-;-;3;-;-;125053
"350600 Bauru";26809;102783;2883;178305;-;6878;570;19;113;-;-;-;1411;-;-;7682;231829;1472;15;-;-;-;1642;6;-;179;-;12;-;-;-;-;-;-;-;-;-;536;-;-;-;-;-;-;-;-;-;811;-;1;2081;566037
"350610 Bebedouro";7885;-;980;42714;106;817;181;-;-;-;19;-;1156;-;-;608;27412;711;-;-;-;-;-;-;-;83;-;-;51;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82781
"350630 Bernardino de Campos";-;30;-;992;-;622;-;-;-;-;-;-;127;-;-;2;5636;242;10;-;-;-;-;-;-;25;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;7726
"350635 Bertioga";31120;149;3368;45086;224;3616;1527;74;26;-;18;-;1206;-;3;3484;93979;1590;11;-;-;-;1442;84;-;419;-;25;-;-;6;-;7;-;-;-;-;288;-;-;-;-;-;-;-;-;-;-;-;-;-;187752
"350640 Bilac";4620;-;47;351;-;206;-;-;-;-;-;-;22;-;-;322;9342;160;-;-;-;-;560;-;-;1;-;1;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;18;-;-;3275;18967
"350650 Birigui";27103;136;681;25228;20;4578;1135;988;54;-;104;-;1553;-;-;8631;106402;805;67;-;-;-;2023;419;-;522;-;48;-;-;-;-;1;-;-;-;-;391;2;-;-;-;-;-;-;-;-;85;-;-;-;180976
"350660 Biritiba-Mirim";857;30;354;6031;-;909;43;-;-;-;-;-;196;-;-;702;14338;-;91;-;-;-;35;-;-;20;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;23665
"350670 Boa Esperanca do Sul";-;-;-;138;-;-;-;-;-;-;-;-;90;-;-;200;4041;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4481
"350680 Bocaina";5260;-;374;-;-;153;63;-;-;-;-;-;50;-;-;95;9167;333;-;-;-;-;483;-;-;52;-;4;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;2887;18956
"350690 Bofete";28;21;29;-;-;-;350;-;-;-;-;-;88;-;-;176;6218;-;120;-;-;-;-;-;-;156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7186
"350700 Boituva";2935;289;998;23268;-;1497;882;220;36;-;59;-;645;-;-;2354;58022;3163;-;-;-;-;458;-;-;146;-;50;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;141;-;-;2500;97748
"350710 Bom Jesus dos Perdoes";-;-;316;2500;-;1157;1;-;-;-;-;-;131;-;-;231;13686;899;-;-;-;-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18931
"350715 Bom Sucesso de Itarare";27;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;217
"350730 Boraceia";2236;9;145;-;-;1;-;-;-;-;-;-;-;-;-;141;5529;119;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;4;-;-;1000;9374
