municipio;tipo;estadual;federal;municipal;particular;total
BASTOS;diagnose_terapia;0;0;2;2;4
BASTOS;hospital;0;0;0;1;1
BASTOS;outros;0;0;6;0;6
BASTOS;pronto_atendimento;0;0;1;0;1
BASTOS;ubs;0;0;6;0;6
BASTOS;saude_mental;0;0;1;0;1
BASTOS;vigilancia;0;0;1;0;1
BATATAIS;clinica;0;0;4;6;10
BATATAIS;consultorio;0;0;1;275;276
BATATAIS;diagnose_terapia;0;0;1;9;10
BATATAIS;hospital;0;0;0;1;1
BATATAIS;outros;0;0;5;6;11
BATATAIS;pronto_atendimento;0;0;1;1;2
BATATAIS;ubs;0;0;9;0;9
BATATAIS;saude_mental;0;0;1;0;1
BATATAIS;unidade_movel;0;0;2;0;2
BATATAIS;vigilancia;0;0;1;0;1
BAURU;clinica;2;0;13;79;94
BAURU;consultorio;0;0;0;799;799
BAURU;diagnose_terapia;1;0;0;37;38
BAURU;hospital;7;0;0;7;14
BAURU;outros;4;1;8;26;39
BAURU;pronto_atendimento;0;0;5;0;5
BAURU;ubs;5;0;25;1;31
BAURU;saude_mental;0;0;5;0;5
BAURU;unidade_movel;0;0;11;1;12
BAURU;vigilancia;0;0;4;0;4
BEBEDOURO;clinica;0;0;5;60;65
BEBEDOURO;consultorio;0;0;1;268;269
BEBEDOURO;diagnose_terapia;0;0;1;12;13
BEBEDOURO;hospital;1;0;1;6;8
BEBEDOURO;outros;0;0;4;5;9
BEBEDOURO;pronto_atendimento;0;0;1;0;1
BEBEDOURO;ubs;0;0;18;0;18
BEBEDOURO;saude_mental;0;0;2;0;2
BEBEDOURO;unidade_movel;0;0;0;1;1
BENTO DE ABREU;outros;0;0;1;0;1
BENTO DE ABREU;ubs;0;0;1;0;1
BERNARDINO DE CAMPOS;clinica;0;0;2;1;3
BERNARDINO DE CAMPOS;consultorio;0;0;0;7;7
BERNARDINO DE CAMPOS;diagnose_terapia;0;0;0;3;3
BERNARDINO DE CAMPOS;hospital;0;0;0;1;1
BERNARDINO DE CAMPOS;outros;0;0;1;0;1
BERNARDINO DE CAMPOS;ubs;1;0;3;0;4
BERNARDINO DE CAMPOS;saude_mental;0;0;1;0;1
BERNARDINO DE CAMPOS;unidade_movel;0;0;1;0;1
BERTIOGA;clinica;0;0;5;11;16
BERTIOGA;consultorio;0;0;0;33;33
BERTIOGA;diagnose_terapia;0;0;0;8;8
BERTIOGA;hospital;0;0;1;0;1
BERTIOGA;outros;0;0;3;34;37
BERTIOGA;ubs;0;0;7;0;7
BERTIOGA;saude_mental;0;0;1;0;1
BERTIOGA;unidade_movel;0;0;3;2;5
BERTIOGA;vigilancia;0;0;2;0;2
BILAC;consultorio;0;0;1;5;6
BILAC;diagnose_terapia;0;0;0;1;1
BILAC;hospital;0;0;0;1;1
BILAC;outros;0;0;2;2;4
BILAC;ubs;0;0;1;0;1
BIRIGUI;clinica;1;0;6;35;42
BIRIGUI;consultorio;0;0;7;219;226
BIRIGUI;diagnose_terapia;0;0;0;24;24
BIRIGUI;hospital;0;0;0;2;2
BIRIGUI;outros;0;0;1;15;16
BIRIGUI;pronto_atendimento;0;0;1;0;1
BIRIGUI;ubs;1;0;12;0;13
BIRITIBA-MIRIM;clinica;0;0;1;2;3
BIRITIBA-MIRIM;consultorio;0;0;0;7;7
BIRITIBA-MIRIM;diagnose_terapia;0;0;0;1;1
BIRITIBA-MIRIM;outros;0;0;3;0;3
BIRITIBA-MIRIM;pronto_atendimento;0;0;1;0;1
BIRITIBA-MIRIM;ubs;0;0;6;0;6
BIRITIBA-MIRIM;saude_mental;0;0;1;0;1
BIRITIBA-MIRIM;unidade_movel;0;0;1;0;1
BIRITIBA-MIRIM;vigilancia;0;0;1;0;1
BOA ESPERANCA DO SUL;clinica;0;0;1;0;1
BOA ESPERANCA DO SUL;consultorio;0;0;0;7;7
BOA ESPERANCA DO SUL;diagnose_terapia;0;0;2;0;2
BOA ESPERANCA DO SUL;hospital;0;0;0;1;1
BOA ESPERANCA DO SUL;outros;0;0;3;0;3
BOA ESPERANCA DO SUL;ubs;0;0;4;0;4
BOA ESPERANCA DO SUL;unidade_movel;0;0;1;0;1
BOCAINA;clinica;0;0;1;2;3
BOCAINA;consultorio;0;0;0;15;15
BOCAINA;diagnose_terapia;0;0;0;2;2
BOCAINA;hospital;0;0;0;1;1
BOCAINA;outros;0;0;1;0;1
BOCAINA;ubs;0;0;4;0;4
BOFETE;clinica;0;0;0;1;1
BOFETE;consultorio;0;0;0;2;2
BOFETE;diagnose_terapia;0;0;0;1;1
BOFETE;pronto_atendimento;0;0;1;0;1
BOFETE;ubs;0;0;7;0;7
BOFETE;unidade_movel;0;0;1;0;1
BOFETE;vigilancia;0;0;1;0;1
BOITUVA;clinica;0;0;2;19;21
BOITUVA;consultorio;0;1;0;91;92
BOITUVA;diagnose_terapia;0;0;0;13;13
BOITUVA;hospital;0;0;0;1;1
BOITUVA;outros;0;0;5;3;8
BOITUVA;pronto_atendimento;0;0;1;0;1
BOITUVA;ubs;0;0;9;0;9
BOITUVA;saude_mental;0;0;2;0;2
BOITUVA;unidade_movel;0;0;2;0;2
BOM JESUS DOS PERDOES;clinica;0;0;0;1;1
BOM JESUS DOS PERDOES;consultorio;0;0;0;12;12
BOM JESUS DOS PERDOES;diagnose_terapia;0;0;1;4;5
BOM JESUS DOS PERDOES;outros;0;0;1;1;2
BOM JESUS DOS PERDOES;ubs;0;0;4;0;4
BOM JESUS DOS PERDOES;unidade_movel;0;0;1;0;1
BOM SUCESSO DE ITARARE;outros;0;0;3;0;3
BOM SUCESSO DE ITARARE;ubs;0;0;2;0;2
BOM SUCESSO DE ITARARE;unidade_movel;0;0;1;0;1
BOM SUCESSO DE ITARARE;vigilancia;0;0;1;0;1
BORA;outros;0;0;1;0;1
BORA;ubs;0;0;1;0;1
BORACEIA;consultorio;0;0;0;1;1
BORACEIA;outros;0;0;2;0;2
BORACEIA;pronto_atendimento;0;0;1;0;1
