municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
PORTO FERREIRA;-21,8498;-47,487;0;0;1;0;0;0;3;14;170;1;0;337;31962;1419;6420;10534;1234;394;70838;2329;94;24;79;9;20;1;649;56848;330485858.57;0.791
POTIM;-22,8343;-45,2552;0;0;0;0;0;0;1;1;1;0;0;0;1326;1060;5906;8955;0;20;5895;0;0;0;0;0;0;0;0;25603;92852706.59;0.268
POTIRENDABA;-21,0428;-49,3815;0;0;0;1;1;0;1;2;11;0;0;0;8275;1996;1897;5865;0;55;9556;206;10;0;42;0;0;2;92;17668;117558328.12;0.574
PRACINHA;-21,8496;-51,0868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1419;0;0;6;714;0;0;0;0;0;0;0;0;4327;24499004.38;0.313
PRADOPOLIS;-21,3626;-48,0679;0;0;0;0;0;0;1;3;16;2;0;0;8365;1442;4698;2451;0;36;0;0;0;0;0;0;0;0;0;22239;140811739.28;0.283
PRAIA GRANDE;-24,0084;-46,4121;1;0;2;4;0;0;8;80;167;5;13;10604;181158;40299;22889;69678;21242;20;156218;10437;667;190;537;84;72;10;1474;336454;2315923274.89;0.543
PRATANIA;-22,8112;-48,6636;0;0;0;0;0;0;1;0;1;0;0;0;350;467;1308;3001;0;8;1795;0;0;0;0;0;0;0;0;5371;40505264.57;0.386
PRESIDENTE ALVES;-22,0999;-49,4381;0;0;0;0;0;0;0;0;0;0;0;0;1091;267;2211;0;0;43;4999;0;0;0;0;0;0;0;0;4067;31712602.29;0.612
PRESIDENTE BERNARDES;-22,0082;-51,5565;0;0;0;1;0;0;0;5;13;9;0;0;6353;0;3828;1616;0;0;7706;336;27;0;66;0;0;0;0;12943;77273589.95;0.802
PRESIDENTE EPITACIO;-21,7651;-52,1111;0;0;0;1;0;0;1;3;48;0;0;438;12370;3662;13330;8567;0;0;24967;2559;41;14;109;5;9;1;373;44572;177739260.44;0.556
PRESIDENTE PRUDENTE;-22,1207;-51,3925;2;0;0;12;2;0;7;98;946;4;2;12011;123970;36249;23594;27421;0;1500;92920;0;0;0;0;0;0;0;0;231953;1065516919.35;0.659
PRESIDENTE VENCESLAU;-21,8732;-51,8447;0;0;0;1;0;0;4;0;92;0;1;1052;16743;740;10754;4935;0;161;26003;1590;16;16;209;3;18;12;556;39648;206064550.41;0.725
PROMISSAO;-21,5356;-49,8599;1;0;0;0;1;0;2;3;52;0;0;0;16744;3822;6001;8249;0;824;20;0;0;0;0;0;0;0;0;41211;184266104.79;0.253
QUADRA;-23,2993;-48,0547;0;0;0;0;0;0;0;0;1;0;1;0;531;843;368;1499;0;20;110;0;0;0;0;0;0;0;0;3902;37724877.32;0.282
QUATA;-22,2456;-50,6966;0;0;0;0;0;0;1;1;21;2;0;0;5575;0;4134;3030;0;0;511;0;0;0;0;0;0;0;0;14309;99514074.37;0.349
QUEIROZ;-21,7969;-50,2415;0;0;0;0;0;0;0;0;0;0;0;0;293;201;1883;755;0;3;3347;0;0;0;0;0;0;0;0;3513;49975874.33;0.658
QUELUZ;-22,5312;-44,7781;0;0;1;0;0;0;1;1;0;0;1;0;2981;354;916;4608;0;117;5768;270;2;108;14;0;0;0;45;13788;76116659.42;0.489
QUINTANA;-22,0692;-50,307;0;0;0;0;0;0;0;0;7;1;0;0;1491;111;3281;1853;0;47;15561;0;0;0;0;0;0;0;0;6736;51712244.88;0.673
RAFARD;-23,0105;-47,5318;0;0;0;0;0;0;0;0;1;0;0;0;5872;0;1698;1257;0;0;2949;0;0;0;0;0;0;0;0;9126;62245547.24;0.406
RANCHARIA;-22,2269;-50,893;0;0;0;1;0;0;0;6;52;0;0;0;12224;843;5512;9620;0;92;6744;0;0;0;0;0;0;0;0;29743;169994509.33;0.415
REDENCAO DA SERRA;-23,2638;-45,5422;0;0;0;0;0;0;0;0;1;0;1;0;419;0;2754;946;0;5;3163;0;0;0;0;0;0;0;0;3827;36642683.12;0.636
REGENTE FEIJO;-22,2181;-51,3055;0;0;0;1;0;0;0;0;20;0;1;116;9117;1158;5344;4154;0;108;6274;1507;0;0;90;0;0;0;160;20523;122873773.66;0.45
REGINOPOLIS;-21,8914;-49,2268;0;0;0;0;0;0;1;0;3;0;0;0;2767;251;740;1752;0;15;2138;0;0;0;0;0;0;0;0;10047;48857011.54;0.346
REGISTRO;-24,4979;-47,8449;1;0;0;2;0;0;6;23;64;1;0;201;30438;1685;14616;11181;0;170;22648;0;0;0;0;0;0;0;0;56463;307730919.97;0.536
RESTINGA;-20,6056;-47,4833;0;0;0;0;0;0;1;0;0;1;0;0;614;0;2287;3435;0;23;4520;0;0;0;0;0;0;0;0;7762;47477925.37;0.533
RIBEIRA;-24,6517;-49,0044;0;0;0;0;0;0;1;0;0;1;1;0;378;0;2300;382;0;20;1283;0;0;0;0;0;0;0;0;3320;32714646.19;0.603
RIBEIRAO BONITO;-22,0685;-48,182;0;0;0;1;0;0;1;2;25;1;0;0;3183;0;2465;5149;0;5;6822;73;6;0;8;0;6;0;50;13376;61914414.83;0.593
RIBEIRAO BRANCO;-24,2206;-48,7635;0;0;1;0;0;0;0;3;2;0;1;0;2166;0;6778;9216;0;114;2885;485;36;0;32;1;0;1;83;15984;84643828.9;0.259
RIBEIRAO CORRENTE;-20,4579;-47,5904;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2268;2253;0;26;5276;0;0;0;0;0;0;0;0;4786;44828948.12;0.634
RIBEIRAO DO SUL;-22,789;-49,933;0;0;0;0;0;0;1;0;0;0;0;0;1241;222;2398;635;0;0;7650;0;0;0;0;0;0;0;0;4537;38763114.44;0.646
RIBEIRAO DOS INDIOS;-21,8382;-51,6103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1591;307;0;5;0;0;0;0;0;0;0;0;0;2222;27138054.84;0.243
RIBEIRAO GRANDE;-24,1011;-48,3679;0;0;0;0;0;0;1;1;0;0;0;0;1113;0;5837;252;0;102;46;0;0;0;0;0;0;0;0;7686;50504230.99;0.216
RIBEIRAO PIRES;-23,7067;-46,4058;0;0;1;1;0;0;4;36;68;1;0;910;82827;9494;9512;7218;4586;78;75881;4398;25;67;77;38;36;0;577;125238;530684339.47;0.616
RIBEIRAO PRETO;-21,1699;-47,8099;0;0;3;21;0;0;11;652;2095;7;22;86955;328918;165853;21899;65127;22793;1145;420512;49572;2231;340;1004;113;132;21;6094;720116;4111828964.42;0.828
RIVERSUL;-23,829;-49,429;0;0;0;0;0;0;0;0;0;1;0;0;0;342;1565;3474;0;27;0;0;0;0;0;0;0;0;0;5364;37322619.3;0.181
RIFAINA;-20,0803;-47,4291;0;0;0;0;0;0;2;0;0;0;0;0;1836;354;763;824;0;11;3154;0;0;0;0;0;0;0;0;3651;52416217.35;0.777
RINCAO;-21,5894;-48,0728;0;0;0;0;0;0;1;0;5;1;0;0;2996;594;4499;927;0;0;5216;0;0;0;0;0;0;0;0;10824;58478886.75;0.521
RINOPOLIS;-21,7284;-50,7239;0;0;1;0;0;0;1;0;1;0;0;0;2091;1036;3291;2180;0;40;9141;0;13;0;11;0;0;0;77;9940;55748895.91;0.621
RIO CLARO;-22,3984;-47,5546;0;0;0;5;0;0;5;111;564;2;3;9027;107470;34173;14498;32976;419;2019;219921;6678;342;178;245;42;115;350;2127;209548;1253696289.2;0.802
RIO DAS PEDRAS;-22,8417;-47,6047;0;0;0;2;0;0;1;8;72;0;0;911;20149;1583;2906;5524;0;88;32676;1102;56;0;34;0;0;8;175;36233;156135625.93;0.702
RIO GRANDE DA SERRA;-23,7437;-46,3971;0;0;0;0;0;0;2;1;3;1;0;0;16366;1067;10688;10417;5166;0;20702;0;0;0;0;0;0;0;0;52009;144519395.57;0.367
RIOLANDIA;-19,9868;-49,6836;0;0;0;1;0;0;1;1;2;0;1;0;1081;373;2573;3724;0;0;215;14;0;0;6;0;0;0;0;12856;74543699.92;0.238
ROSANA;-22,5782;-53,0603;0;0;1;0;0;0;0;2;16;0;0;0;6819;564;8647;934;0;23;1635;0;0;0;0;0;0;0;0;15929;147945626.36;0.374
ROSEIRA;-22,8938;-45,307;0;0;0;0;0;0;1;2;2;0;1;0;5494;2185;1020;2100;0;43;6938;0;0;0;0;0;0;0;0;10888;62921503.28;0.615
RUBIACEA;-21,3006;-50,7296;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2015;374;0;6;2263;0;0;0;0;0;0;0;0;3195;33212147.25;0.651
RUBINEIA;-20,1759;-51,007;0;0;0;0;0;0;0;0;0;0;0;0;2514;661;236;0;0;23;0;0;0;0;0;0;0;0;0;3191;45677551.16;0.309
SABINO;-21,4593;-49,5755;0;0;0;0;0;0;0;0;2;0;0;0;1034;0;3595;276;0;14;6023;0;0;0;0;0;0;0;0;5638;48655677.99;0.634
SAGRES;-21,8823;-50,9594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2381;0;0;0;1445;0;0;0;0;0;0;0;0;2427;27073452.76;0.559
SALES;-21,3427;-49,4897;0;0;0;0;0;0;0;0;0;0;0;0;1840;812;1790;1774;0;25;11285;0;0;0;0;0;0;0;0;6481;55341493.01;0.605
SALES OLIVEIRA;-20,7696;-47,8369;0;0;0;1;0;0;0;3;36;1;0;0;7182;1782;146;2091;0;496;815;45;0;0;8;1;3;0;0;12103;78220351.61;0.485
SALESOPOLIS;-23,5288;-45,8465;0;0;0;1;0;0;1;0;3;0;1;0;4977;509;6065;3110;0;57;6837;414;11;0;25;0;0;0;0;17363;87839510.8;0.433
SALMOURAO;-21,6267;-50,8614;0;0;0;0;0;0;0;0;0;0;0;0;597;0;2182;1830;0;0;0;0;0;0;0;0;0;0;0;5372;30392264.45;0.143
SALTINHO;-22,8442;-47,6754;0;0;0;0;0;0;1;0;3;0;0;0;7414;0;599;0;0;1026;17552;0;0;0;0;0;0;0;0;8498;53997548.55;0.661
SALTO;-23,1996;-47,2931;0;0;1;0;0;0;28;21;167;0;1;4251;91889;20750;9234;7240;335;393;55469;4666;241;69;195;29;44;65;856;120779;615165606.53;0.618
SALTO DE PIRAPORA;-23,6474;-47,5743;0;0;1;1;0;0;6;5;50;0;0;824;18954;6652;10021;6155;0;80;26647;82;21;0;59;9;9;3;87;46285;239092440.87;0.622
SALTO GRANDE;-22,8894;-49,9831;0;0;0;1;0;0;0;0;1;0;0;0;1702;0;2537;4493;0;258;6930;121;4;5;15;0;6;0;22;9396;51955045.5;0.557
SANDOVALINA;-22,4551;-51,7648;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1893;1539;0;21;0;0;0;0;0;0;0;0;0;4405;58706557.54;0.264
SANTA ADELIA;-21,2427;-48,8063;0;0;0;1;0;0;2;1;23;0;0;0;8140;201;2665;2781;0;161;17215;64;12;0;12;0;0;0;0;15639;80851614.28;0.691
SANTA ALBERTINA;-20,0311;-50,7297;0;0;0;0;0;0;0;0;3;0;1;0;2736;0;2615;864;0;31;2799;0;0;0;0;0;0;0;0;6036;58879812.79;0.547
SANTA BARBARA D'OESTE;-22,7553;-47,4143;0;0;0;0;0;0;0;0;0;0;0;4927;129130;22481;13011;13052;0;416;184141;12204;955;93;162;39;53;869;2362;195278;841403957.56;0.561
SANTA BRANCA;-23,3933;-45,8875;0;0;0;0;0;0;0;3;3;1;1;0;5685;1157;4218;2558;0;0;10292;0;0;0;0;0;0;0;0;14925;80624682.21;0.616
SANTA CLARA D'OESTE;-20,09;-50,9491;0;0;0;0;0;0;0;0;0;0;0;0;839;205;1018;505;0;10;32;0;0;0;0;0;0;0;0;2111;37252806.32;0.258
SANTA CRUZ DA CONCEICAO;-22,1405;-47,4512;0;0;0;0;0;0;0;0;0;0;0;0;3580;0;378;250;0;12;87;0;0;0;0;0;0;0;0;4584;39386674.54;0.264
SANTA CRUZ DA ESPERANCA;-21,2951;-47,4304;0;0;0;0;0;0;0;1;0;1;1;0;2018;0;0;0;0;6;654;0;0;0;0;0;0;0;0;2166;28312432.53;0.72
SANTA CRUZ DAS PALMEIRAS;-21,8235;-47,248;0;0;0;1;0;0;9;8;50;1;2;0;11875;1543;7065;7926;0;0;14693;312;50;138;46;3;15;1;206;35102;133367034.65;0.557
SANTA CRUZ DO RIO PARDO;-22,8988;-49,6354;0;0;0;1;0;0;16;14;127;1;3;137;24854;7110;6070;6446;995;858;37648;2886;213;0;150;12;38;287;385;48207;278627898.27;0.83
SANTA ERNESTINA;-21,4618;-48,3953;0;0;0;0;0;0;0;0;4;0;0;0;4226;0;992;779;0;25;459;0;0;0;0;0;0;0;0;5577;33952558.97;0.278
SANTA FE DO SUL;-20,2083;-50,932;0;0;0;1;0;0;5;29;86;2;3;0;16845;5149;4609;7563;0;924;32977;3146;63;14;483;7;8;11;873;32796;294887269.31;0.873
SANTA GERTRUDES;-22,4572;-47,5272;0;0;0;0;0;0;7;3;28;1;1;768;5334;12468;519;4080;0;63;19249;0;0;0;0;0;0;0;0;27850;213108049.94;0.746
SANTA ISABEL;-23,3172;-46,2237;0;0;0;1;0;0;9;6;18;1;2;698;13833;4644;18286;14579;0;485;35970;2761;86;42;92;11;28;67;692;58529;245862947.04;0.566
SANTA LUCIA;-21,685;-48,0885;0;0;0;0;0;0;1;0;0;1;0;0;1463;0;3164;2449;0;46;6963;0;0;0;0;0;0;0;0;8889;38826386.67;0.572
SANTA MARIA DA SERRA;-22,5661;-48,1593;0;0;0;0;0;0;1;0;2;0;0;0;2276;0;833;2009;0;0;4372;0;0;0;0;0;0;0;0;6298;40180667.4;0.629
SANTA MERCEDES;-21,3495;-51,7564;0;0;0;0;0;0;1;0;2;0;0;0;254;0;1918;754;0;0;3598;0;0;0;0;0;0;0;0;2947;28230399.55;0.699
SANTANA DA PONTE PENSA;-20,2523;-50,8014;0;0;0;0;0;0;1;0;0;0;0;0;574;0;1026;0;0;16;0;0;0;0;0;0;0;0;0;1448;26231032.11;0.4
SANTANA DE PARNAIBA;-23,4439;-46,9178;0;0;2;0;0;0;4;17;39;2;2;45670;16221;31093;5038;51488;3790;0;179938;1720;56;0;123;48;31;0;0;145073;1697184988.89;0.692
SANTA RITA D'OESTE;-20,1414;-50,8358;0;0;0;0;0;0;0;0;0;0;0;0;542;0;2109;0;0;0;865;0;0;0;0;0;0;0;0;2476;30880139.93;0.444
SANTA RITA DO PASSA QUATRO;-21,7083;-47,478;1;0;0;1;0;0;3;6;58;0;1;0;17489;877;4913;1090;0;67;13505;311;25;0;31;1;8;0;122;27641;150330901.17;0.683
SANTA ROSA DE VITERBO;-21,4776;-47,3622;0;0;0;1;0;0;1;5;56;1;1;0;17284;0;5933;0;0;31;13915;259;10;0;43;1;0;0;179;26960;119558152.23;0.66
SANTA SALETE;-20,2429;-50,6887;0;0;0;0;0;0;0;0;0;0;0;0;958;0;583;0;0;19;93;0;0;0;0;0;0;0;0;1558;24998079.11;0.335
SANTO ANASTACIO;-21,9747;-51,6527;0;0;0;1;0;0;1;2;33;0;0;0;9136;1184;4082;2974;0;0;4147;848;43;4;70;3;1;0;239;20855;86033070.33;0.396
SANTO ANDRE;-23,6737;-46,5432;2;0;2;12;0;0;14;753;173;10;21;81845;465041;52988;14239;27929;98153;47085;394077;49951;1104;15728;1525;187;148;156;5181;723889;3861690241.28;0.683
SANTO ANTONIO DA ALEGRIA;-21,0864;-47,1464;0;0;0;0;0;0;2;1;2;0;1;0;2530;729;1993;1504;0;41;3246;0;0;0;2;0;0;0;0;7024;46765320.08;0.552
SANTO ANTONIO DE POSSE;-22,6029;-46,9192;0;0;0;0;0;0;2;6;22;1;0;0;7409;4341;978;10057;0;0;40939;0;0;0;0;0;0;0;0;23742;167838023.75;0.68
SANTO ANTONIO DO ARACANGUA;-20,9331;-50,498;0;0;0;0;0;0;0;0;0;0;0;0;2507;199;3394;1493;0;0;10807;0;0;0;0;0;0;0;0;8541;82718235.88;0.629
SANTO ANTONIO DO JARDIM;-22,1121;-46,6845;0;0;0;0;0;0;1;0;3;0;1;0;1458;599;3929;0;0;545;4854;0;0;0;0;0;0;0;0;5926;35917577.25;0.646
SANTO ANTONIO DO PINHAL;-22,827;-45,663;0;0;0;0;0;0;1;1;1;1;1;0;2729;640;2400;956;0;7;3399;0;0;0;0;0;0;0;0;6843;51241534.11;0.594
SANTO EXPEDITO;-21,8467;-51,3929;0;0;0;0;0;0;1;0;0;0;0;0;122;115;1918;760;0;119;82;0;0;0;0;0;0;0;0;3159;25325387.8;0.268
SANTOPOLIS DO AGUAPEI;-21,6376;-50,5044;0;0;0;0;0;0;0;0;0;0;0;0;417;0;2132;1214;0;0;5469;0;0;0;0;0;0;0;0;4856;40427582.19;0.603
SANTOS;-23,9535;-46,335;0;0;3;23;0;0;15;231;1403;4;29;95718;232084;24045;7450;10446;45789;1163;351382;66114;3080;19054;1233;234;243;1162;14547;433991;4284191164.24;0.912
SAO BENTO DO SAPUCAI;-22,6837;-45,7287;0;0;0;1;0;0;0;0;8;1;1;0;6451;1390;2124;817;0;79;4559;280;7;3;19;1;2;0;108;10907;66595791.58;0.552
SAO BERNARDO DO CAMPO;-23,6914;-46,5646;0;0;5;20;0;0;388;753;652;12;18;75769;414463;73822;54453;31075;157549;1712;653524;91583;4144;26192;2374;194;184;6506;13617;849874;5829729944.43;0.817
SAO CAETANO DO SUL;-23,6229;-46,5548;0;0;2;7;0;0;22;209;543;1;8;52426;107655;4059;678;0;0;661;153334;34872;1132;18702;568;26;43;655;3118;162763;2042467800.2;0.966
SAO CARLOS;-22,0174;-47,886;1;0;0;4;2;1;7;145;812;4;13;18349;126728;45789;22503;39049;362;299;31930;24411;1922;307;577;76;65;16;4466;256915;1266421165.1;0.528
SAO FRANCISCO;-20,3623;-50,6952;0;0;0;0;0;0;0;0;1;0;0;0;1086;0;1381;135;0;6;0;0;0;0;0;0;0;0;0;2813;29219970.77;0.267
SAO JOAO DA BOA VISTA;-21,9707;-46,7944;0;0;0;5;3;0;6;30;588;1;5;2410;53499;14166;16254;5192;0;7008;115893;9492;409;5109;202;12;74;37;1650;92315;596785649.54;0.852
SAO JOAO DAS DUAS PONTES;-20,3879;-50,3792;0;0;0;0;0;0;0;0;0;0;0;0;131;0;2444;0;0;9;814;0;0;0;0;0;0;0;0;2555;29913692.19;0.412
SAO JOAO DE IRACEMA;-20,5111;-50,3561;0;0;0;0;0;0;0;0;0;0;0;0;296;0;1182;345;0;5;995;0;0;0;0;0;0;0;0;1942;29092596.43;0.55
SAO JOAO DO PAU D'ALHO;-21,2662;-51,6672;0;0;0;0;0;0;0;0;0;0;0;0;423;0;1469;135;0;0;2154;0;0;0;0;0;0;0;0;2095;25913743.36;0.65
SAO JOAQUIM DA BARRA;-20,5812;-47,8593;0;0;0;1;0;0;4;3;156;1;1;0;31142;4834;5204;6806;0;210;47431;0;0;0;0;0;0;0;0;52737;254293043.96;0.761
SAO JOSE DA BELA VISTA;-20,5935;-47,6424;0;0;0;0;0;0;1;0;0;1;0;0;365;302;1118;5812;0;0;4301;0;0;0;0;0;0;0;0;8991;42077193.04;0.411
SAO JOSE DO BARREIRO;-22,6414;-44,5774;0;0;0;0;0;0;0;0;1;0;0;0;418;0;2452;899;0;12;3722;0;0;0;0;0;0;0;0;4141;48070309.1;0.647
SAO JOSE DO RIO PARDO;-21,5953;-46,8873;0;0;0;2;0;0;5;31;118;1;4;188;29577;2344;14216;5024;0;255;28473;3482;141;2668;215;12;48;4;1166;55298;297102441.24;0.731
SAO JOSE DO RIO PRETO;-20,8113;-49,3758;1;0;1;22;4;0;11;249;912;6;15;51395;224317;107949;35420;56406;0;215027;402557;22647;1101;156;5517;50;124;219;3990;469173;2784507244.41;0.772
SAO JOSE DOS CAMPOS;-23,1896;-45,8841;1;1;3;21;2;0;16;374;1054;8;18;85458;353016;94587;67278;84123;6441;1123;504837;58280;2406;537;3526;199;259;102;7237;737310;4277758157.69;0.736
SAO LOURENCO DA SERRA;-23,8491;-46,9432;0;0;0;0;0;0;1;2;0;1;3;0;4360;1860;4270;4944;0;71;12731;0;0;0;0;0;0;0;0;16127;76624513.65;0.588
SAO LUIZ DO PARAITINGA;-23,222;-45,3109;0;0;0;1;0;0;0;0;1;0;1;0;2963;0;6781;511;0;0;0;0;0;0;0;0;0;0;0;10693;65140609.34;0.202
SAO MANUEL;-22,7321;-48,5723;0;0;0;1;0;0;2;2;88;0;1;0;18259;1508;9272;7393;0;286;9501;68;16;0;30;14;15;0;291;41287;205086908.57;0.44
SAO MIGUEL ARCANJO;-23,8782;-47,9935;0;0;0;1;0;0;2;2;29;0;0;0;9605;836;11374;9738;0;248;32204;1384;82;398;46;0;0;2;325;33071;148260926.38;0.592
SAO PAULO;-23,5329;-46,6395;37;3;39;192;20;1;183;5776;16771;71;213;1874333;4651411;1308816;717837;1085667;1703098;76308;6666261;454570;17467;66844;17899;2387;1530;2741;53589;12396372;95789912728.43;0.685
SAO PEDRO;-22,5483;-47,9096;0;0;0;1;0;0;1;9;74;1;2;412;24470;3457;3063;4650;1506;0;42741;2707;106;136;47;15;18;25;485;36298;218829176.4;0.745
SAO PEDRO DO TURVO;-22,7453;-49,7428;0;0;0;0;0;0;0;0;0;0;0;0;3009;0;1757;2308;0;13;350;0;0;0;0;0;0;0;0;7724;61642789.25;0.229
SAO ROQUE;-23,5226;-47,1357;0;0;0;3;0;0;4;32;227;0;0;2467;46642;9293;10376;5276;2216;596;17914;3088;241;2083;113;48;44;10;1095;93076;430499124.72;0.492
SAO SEBASTIAO;-23,7951;-45,4143;0;0;1;1;0;0;8;10;136;1;6;1149;30179;5770;3568;13092;24678;602;100588;8559;28;82;224;47;38;3;802;91637;1288562664.03;0.783
SAO SEBASTIAO DA GRAMA;-21,7041;-46,8208;0;0;0;1;0;0;0;2;25;1;0;0;5071;810;4144;215;0;0;10518;84;17;0;18;0;0;1;153;12137;58419346.13;0.731
SAO SIMAO;-21,4732;-47,5518;0;0;0;1;0;0;3;1;21;0;1;0;9545;0;2785;885;0;87;14648;0;0;0;20;0;0;0;172;15446;92355293.94;0.738
SAO VICENTE;-23,9574;-46,3883;1;0;3;3;0;0;12;33;116;4;9;871;160874;28059;28541;19992;84765;462;136707;9395;46;3136;494;61;109;936;3468;370839;1607109368.48;0.396
SARAPUI;-23,6397;-47,8249;0;0;0;0;0;0;0;0;1;0;2;685;2339;2584;3239;1219;0;74;16991;0;0;0;0;0;0;0;0;10493;60473746.67;0.598
SARUTAIA;-23,2721;-49,4763;0;0;0;0;0;0;0;0;0;0;0;0;472;0;1710;1381;0;0;0;0;0;0;0;0;0;0;0;3623;31033946.52;0.182
SEBASTIANOPOLIS DO SUL;-20,6523;-49,925;0;0;0;0;0;0;0;1;0;0;0;0;1156;0;1683;285;0;0;0;0;0;0;0;0;0;0;0;3595;53935882.26;0.308
SERRA AZUL;-21,3074;-47,5602;0;0;0;0;0;0;1;0;3;0;1;0;2189;0;4381;2046;0;32;10144;0;0;0;0;0;0;0;0;15292;58333033.76;0.578
SERRANA;-21,2043;-47,5952;1;0;0;1;0;0;5;12;35;1;1;810;5914;8573;4892;23566;0;67;21920;133;5;0;37;0;0;18;86;46166;237538075.38;0.497
SERRA NEGRA;-22,6139;-46,7033;0;1;0;0;1;2;3;0;54;0;0;0;17060;1940;7009;3074;0;40;16319;12;31;12;40;2;10;0;217;29669;170885680.57;0.666
SERTAOZINHO;-21,1316;-47,9875;0;3;0;0;8;66;0;0;364;2;3;5399;63859;15065;18029;24167;0;1614;190145;5983;936;82;121;36;62;96;1766;128432;837670932.21;0.842
SETE BARRAS;-24,382;-47,9279;0;0;0;0;0;0;0;0;1;1;1;0;1826;179;6472;3775;0;87;1901;0;0;0;0;0;0;0;0;12731;75451311.14;0.262
SEVERINIA;-20,8108;-48,8054;0;0;0;0;0;0;0;0;4;1;1;0;2668;996;3370;7423;0;76;7091;0;0;0;0;0;0;0;0;17820;96456398.52;0.405
SILVEIRAS;-22,6638;-44,8522;0;0;0;0;0;0;0;0;6;0;0;0;1647;0;4171;202;0;21;1600;12;0;0;2;0;0;0;0;6375;50739788.31;0.404
SOCORRO;-22,5903;-46,5251;0;1;0;0;3;3;3;0;57;0;1;212;20101;3083;10684;4999;0;187;8945;2598;177;0;97;0;24;41;357;41690;180245470.0;0.423
SOROCABA;-23,4969;-47,4451;3;0;18;0;2;0;6;270;1124;6;16;63610;369689;182069;23644;67002;11731;8156;481781;45477;2675;379;1159;225;182;62;9163;695328;4433107532.63;0.745
SUD MENNUCCI;-20,6872;-50,9238;0;0;0;0;0;0;0;0;4;0;0;0;1377;0;5395;160;0;1;12501;12;0;6;9;1;7;0;6;7738;62948725.51;0.634
SUMARE;-22,8204;-47,2728;1;0;2;0;8;76;0;0;137;6;2;5313;122124;61638;25661;52932;10979;463;46285;0;0;0;0;0;0;0;0;289875;1219498077.58;0.313
SUZANO;-23,5448;-46,3112;1;0;3;0;8;120;0;0;168;3;5;2848;126592;28103;61533;65055;20714;332;161521;4587;324;391;73;129;80;0;754;303397;1381700998.72;0.552
SUZANAPOLIS;-20,4981;-51,0268;0;0;0;0;0;1;0;0;0;0;0;0;225;260;2922;0;0;20;4417;0;0;0;0;0;0;0;0;4063;47087668.87;0.692
TABAPUA;-20,9602;-49,0307;0;1;0;0;2;1;0;0;10;0;1;0;4050;842;5401;553;0;26;15882;456;19;0;50;0;0;0;71;12561;69922734.77;0.693
TABATINGA;-21,7239;-48,6896;0;1;0;0;0;0;0;0;31;1;0;0;3828;2132;3948;4569;154;67;7715;443;15;0;38;1;6;0;92;16787;82921609.46;0.558
TABOAO DA SERRA;-23,6019;-46,7526;1;1;1;0;1;8;46;0;84;2;6;10804;104601;53923;22507;38960;41909;353;134190;65;86;63;232;29;38;11;755;297528;1170744322.54;0.446
TACIBA;-22,3866;-51,2882;0;0;0;0;1;0;0;0;0;0;0;0;2494;229;2198;1154;0;18;60;0;0;0;0;0;0;0;0;6371;61611037.42;0.263
TAGUAI;-23,4452;-49,4024;0;1;0;0;0;0;0;0;6;0;1;0;2009;1466;1913;7183;0;49;20491;347;42;87;20;4;5;0;85;14415;71895701.66;0.579
TAIACU;-21,1431;-48,5112;0;0;0;0;1;1;0;0;4;0;0;0;498;0;4110;1069;0;0;5284;0;0;0;0;0;0;0;0;6346;38680582.48;0.644
TAIUVA;-21,1223;-48,4528;0;0;0;0;0;0;0;0;10;0;0;0;2046;751;1809;843;0;24;802;0;0;0;0;0;0;0;0;5562;36410860.52;0.369
TAMBAU;-21,7029;-47,2703;0;1;0;0;2;1;0;0;41;1;1;158;14288;0;4964;1641;0;0;7676;452;17;0;43;2;8;1;27;23255;135231825.87;0.554
TANABI;-20,6228;-49,6563;0;1;0;0;1;14;0;0;23;0;1;364;11392;969;7230;5213;0;246;2406;0;0;0;0;0;0;0;0;26231;133324643.88;0.372
TAPIRAI;-23,9612;-47,5062;0;0;0;0;0;0;0;0;2;1;0;0;934;0;3124;3704;0;425;8966;0;0;0;0;0;0;0;0;7725;50941699.05;0.587
TAPIRATIBA;-21,4713;-46,7448;0;0;0;1;0;0;0;1;6;0;0;0;5404;960;3534;1538;0;0;3454;0;5;17;12;0;0;0;73;12940;70279986.49;0.382
