municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em vigilancia epidemiologica e ambiental;diagnostico em laboratorio clinico;coleta de material;tratamentos clinicos (outras especialidades);diagnostico por ultrasonografia;diagnostico por radiologia;fisioterapia;tratamentos odontologicos;diagnostico por teste rapido;terapias especializadas;diagnostico por tomografia;diagnostico por ressonancia magnetica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;diagnostico por endoscopia;metodos diagnosticos em especialidades;diagnostico por anatomia patologica e citopatologia;bucomaxilofacial;diagnostico por radiologia intervencionista;anestesiologia;hemoterapia;diagnostico e procedimentos especiais em hemoterapia;diagnostico por medicina nuclear in vivo;tratamento em oncologia;tratamento em nefrologia;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;autorizacao / regulacao;acoes coletivas / individuais em saude;acoes relacionadas ao estabelecimento;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;cirurgia do aparelho circulatorio;cirurgia do sistema nervoso central e periferico;parto e nascimento;medicamentos de ambito hospitalar e urgencia;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia obstetrica;cirurgia toracica;cirurgia em oncologia;acoes relacionadas ao atendimento;cirurgia do aparelho geniturinario;cirurgia reparadora;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia de mama;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acompanhamento e intercorrencias no pre e pos-transplante;cirurgia do aparelho da visao;cirurgia de glandulas endocrinas;cirurgia em nefrologia;outras cirurgias;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;avaliacao de morte encefalica;populacao;receita_anual;ids;categoria;cluster
BARRA BONITA;-22,4909;-48,5583;0;0;0;1;0;0;1;6;78;0;0;413;23713;925;7037;1873;0;0;17241;0;1025;112;0;253;946;1279;1353;1152;0;76;37;151;45;583;0;144;0;0;0;0;0;0;0;0;36;0;2562;0;3;0;0;5;19;19;17;15;0;0;428;1;0;0;0;24;0;0;1;0;2;0;0;0;0;0;36125;215774920.36;0.575;Em risco;0
BARRA DO CHAPEU;-24,4722;-49,0238;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1227;3850;0;76;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5794;40993678.54;0.196;Crítico;3
BARRA DO TURVO;-24,759;-48,5013;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2683;2553;0;49;4851;0;2687;381;0;0;344;0;0;330;0;0;0;18;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7606;57293332.18;0.565;Em risco;0
BARRETOS;-20,5531;-48,5698;1;0;0;5;2;0;6;34;243;2;5;3877;61406;32172;7104;17362;0;0;109685;2;58404;1051;128;1497;4891;1265;2838;6073;445;765;1;427;42;686;40;704;0;0;1;23;0;0;2238;0;59;0;43705;0;15;48;4;25;48;48;106;55;13;0;1281;27;1;6;0;306;0;0;0;4;15;0;0;0;0;0;123546;1056811696.42;0.8;Estruturado;0
BARRINHA;-21,1864;-48,1636;0;0;0;0;0;0;5;5;21;1;1;0;4034;1104;13519;13123;0;0;10961;0;32;19;0;7;257;506;345;1013;0;0;0;36;0;0;0;98;0;0;0;0;0;0;0;0;0;0;1718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33537;141876465.5;0.31;Crítico;3
BARUERI;-23,5057;-46,879;1;0;2;6;0;0;8;106;520;7;1;53858;113228;72392;26383;41330;8717;952;466404;0;436033;35238;568;29914;25317;4560;8148;17115;922;3455;1147;912;2666;22745;3246;886;0;120;15;251;14;0;2934;0;55;340;24322;0;15;23;28;177;212;304;145;165;43;0;6119;282;7;47;16;117;0;145;10;0;26;0;16;0;0;0;279704;4995284576.35;0.844;Estruturado;2
BASTOS;-21,921;-50,7357;0;0;0;1;0;0;4;8;14;1;0;0;8277;1815;5488;5695;0;97;11514;0;4861;0;0;0;992;1095;624;192;1;0;0;32;0;80;0;149;0;0;0;0;0;0;0;0;21;10650;5615;0;1;0;0;0;0;12;0;0;0;0;105;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20952;122271329.14;0.684;Estruturado;0
BATATAIS;-20,8929;-47,5921;0;0;0;1;0;0;4;6;276;2;2;707;36464;1335;11419;7798;0;303;52659;0;42457;1809;47;970;2757;386;490;1836;0;100;0;115;0;2326;0;126;0;0;0;0;0;0;1491;0;0;0;17136;0;11;0;0;4;70;34;47;35;7;0;734;13;2;2;0;70;0;102;0;3;0;0;0;0;0;0;63438;290644356.09;0.807;Estruturado;0
BAURU;-22,3246;-49,0871;7;0;0;7;2;0;13;79;799;5;12;31390;187380;75047;18276;51690;6043;102783;231829;0;178305;2883;15;570;6878;1472;1642;7682;6;19;113;179;0;1411;0;536;0;0;0;0;0;0;0;0;811;20810;26809;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;381706;1921513738.0;0.729;Estruturado;1
BEBEDOURO;-20,9491;-48,4791;1;0;1;6;0;0;5;60;269;1;1;1727;46410;7851;7668;12188;0;0;27412;0;42714;980;0;181;817;711;0;608;0;0;0;83;19;1156;106;0;0;0;0;0;0;0;0;0;0;0;7885;0;0;1;0;20;4;59;9;56;2;0;338;25;0;0;0;11;0;0;0;0;1;0;0;0;0;0;77612;431640887.55;0.759;Estruturado;0
BENTO DE ABREU;-21,2686;-50,814;0;0;0;0;0;0;0;0;0;0;0;0;702;431;773;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3028;36204909.29;0.266;Crítico;3
BERNARDINO DE CAMPOS;-23,0164;-49,4679;0;0;0;1;0;0;2;1;7;0;1;0;4683;1060;1109;3679;0;30;5636;0;992;0;10;0;622;242;0;2;0;0;0;25;0;127;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11168;67332336.41;0.478;Em risco;3
BERTIOGA;-23,8486;-46,1396;0;0;1;0;0;0;5;11;33;0;5;466;17707;13588;2925;9748;15994;149;93979;3;45086;3368;11;1527;3616;1590;1442;3484;84;74;26;419;18;1206;224;288;0;0;0;0;0;0;0;0;0;0;31120;0;3;0;0;38;0;8;22;36;0;0;319;19;0;0;1;0;0;19;0;0;0;0;0;0;0;0;66154;898939140.12;0.726;Estruturado;0
BILAC;-21,404;-50,4746;0;0;0;1;0;0;0;0;6;0;0;0;3729;785;1024;1696;0;0;9342;0;351;47;0;0;206;160;560;322;0;0;0;1;0;22;0;42;0;0;0;0;0;0;0;0;18;32750;4620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8197;57049211.67;0.665;Moderado;0
BIRIGUI;-21,291;-50,3432;0;0;0;2;1;0;6;35;226;1;0;4431;57115;12557;27889;16271;0;136;106402;0;25228;681;67;1135;4578;805;2023;8631;419;988;54;522;104;1553;20;391;0;0;0;0;0;0;0;0;85;0;27103;0;13;0;0;30;4;28;79;27;6;0;1436;21;0;3;0;72;0;0;0;0;13;0;0;0;0;0;126094;595359314.4;0.697;Estruturado;0
BIRITIBA MIRIM;-23,5698;-46,0407;0;0;0;0;0;0;0;0;0;0;0;0;7209;678;13036;5261;2176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33265;151853748.8;0.128;Crítico;3
BOA ESPERANCA DO SUL;-21,9918;-48,3906;0;0;0;1;0;0;1;0;7;0;1;0;2517;657;4766;4901;0;0;4041;0;138;0;0;0;0;0;0;200;0;0;0;12;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15111;93554127.29;0.307;Crítico;3
BOCAINA;-22,1365;-48,523;0;0;0;1;0;0;1;2;15;0;0;0;3537;1303;4024;2041;0;0;9167;0;0;374;0;63;153;333;483;95;0;0;0;52;0;50;0;35;0;0;0;0;0;0;0;0;0;28870;5260;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12571;71591081.16;0.681;Estruturado;0
BOFETE;-23,1055;-48,2582;0;0;0;0;0;0;0;1;2;1;1;0;2323;322;3576;3824;0;21;6218;0;0;29;120;350;0;0;0;176;0;0;0;156;0;88;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12107;71544204.06;0.377;Crítico;3
BOITUVA;-23,2855;-47,6786;0;0;0;1;0;0;2;19;92;1;2;4031;28498;9385;6421;11778;0;289;58022;0;23268;998;0;882;1497;3163;458;2354;0;220;36;146;59;645;0;85;0;0;0;0;0;0;0;0;141;25000;2935;0;4;2;0;23;21;15;0;28;1;0;382;18;0;0;0;2;0;0;0;0;0;0;0;0;0;0;63310;370077019.38;0.708;Estruturado;0
BOM JESUS DOS PERDOES;-23,1356;-46,4675;0;0;0;0;0;0;0;1;12;0;1;162;7674;2982;3212;7073;0;0;13686;0;2500;316;0;1;1157;899;0;231;0;0;0;9;0;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26506;152759369.65;0.419;Em risco;3
BOM SUCESSO DE ITARARE;-24,3155;-49,1451;0;0;0;0;0;0;0;0;0;0;1;0;0;319;1217;1989;0;20;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4013;30698098.66;0.209;Crítico;3
BORA;-22,2696;-50,5409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;442;296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;839;22960849.95;0.244;Crítico;3
BORACEIA;-22,1926;-48,7808;0;0;0;0;0;0;0;0;1;1;0;0;1319;625;1940;790;0;9;5529;0;0;145;0;0;1;119;169;141;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;4;10000;2236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4913;41026111.62;0.668;Moderado;0
BORBOREMA;-21,6214;-49,0741;0;0;0;1;0;0;1;7;18;1;0;411;5917;862;4356;2324;0;168;10587;0;2574;22;0;239;487;1055;47;355;0;0;0;39;0;104;0;20;0;0;0;0;0;0;0;0;23;0;837;0;1;0;0;0;3;7;0;10;0;0;132;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16278;90664851.58;0.623;Moderado;0
BOREBI;-22,5728;-48,9707;0;0;0;0;0;0;1;0;0;0;0;0;1541;0;510;512;0;0;1893;0;0;108;0;0;9;236;456;84;1;0;0;0;0;11;0;34;0;0;0;0;0;0;0;0;8;840;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2713;40460809.85;0.761;Estruturado;0
BOTUCATU;-22,8837;-48,4437;1;0;1;3;4;0;3;34;717;0;3;4493;70545;35308;10893;21560;543;249;69447;0;54;9656;151;336;1037;2373;5002;8186;506;0;0;89;107;1271;0;646;0;0;0;0;0;0;0;0;2;0;43065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149718;724770160.1;0.696;Estruturado;0
BRAGANCA PAULISTA;-22,9527;-46,5419;0;0;0;7;0;0;7;94;349;3;7;10844;81470;41425;13321;26675;212;456;112036;0;87524;2734;334;2407;6927;419;843;6163;14;804;0;445;372;2165;0;298;0;3;0;0;0;0;0;0;0;0;242;0;9;11;0;26;24;61;73;63;10;0;1083;44;0;1;0;137;0;98;0;0;5;0;0;0;0;0;172346;891398394.3;0.755;Estruturado;1
BRAUNA;-21,499;-50,3175;0;0;0;0;0;0;0;0;0;0;0;0;869;0;1901;2429;0;14;5389;0;0;151;0;0;0;0;535;182;0;0;0;1;0;0;0;65;0;0;0;0;0;0;0;0;0;0;2573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5795;38226530.43;0.557;Em risco;0
BREJO ALEGRE;-21,1651;-50,1861;0;0;0;0;0;0;0;0;0;0;0;0;908;0;1622;0;0;0;3453;0;0;89;0;0;2;396;156;165;1;0;0;1;0;0;0;17;0;0;0;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2911;32386700.66;0.658;Moderado;0
BRODOWSKI;-20,9845;-47,6572;0;0;0;0;0;0;3;2;39;1;1;0;13656;2979;2257;6265;0;0;30547;0;12658;1085;0;0;430;699;541;1056;1;0;0;9;0;83;0;100;0;0;0;0;0;0;0;0;0;0;16448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25605;155532101.21;0.709;Estruturado;0
BROTAS;-22,2795;-48,1251;0;0;0;1;0;0;0;1;65;0;0;0;12658;4210;2187;4129;0;153;17806;0;1438;687;12;0;636;129;641;1882;0;0;0;45;0;384;0;76;0;0;0;0;0;0;0;0;0;0;2375;0;1;0;0;4;0;0;13;7;0;0;301;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;24862;170597226.57;0.682;Estruturado;0
BURI;-23,7977;-48,5958;0;0;0;0;0;0;2;1;2;1;0;355;2117;2063;2640;12703;0;9;7891;0;6530;155;0;0;563;523;0;336;0;0;0;113;0;95;0;0;0;0;0;0;0;0;0;0;0;23340;1281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20050;133849464.61;0.517;Em risco;0
BURITAMA;-21,0661;-50,1475;0;0;0;1;0;0;3;4;19;0;0;0;7565;554;5748;3101;0;960;23316;0;3886;221;2365;286;581;544;485;794;52;0;0;4;0;519;0;99;0;0;0;0;0;0;0;0;14;55970;9032;0;1;0;0;6;0;0;0;4;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17414;122228053.37;0.719;Estruturado;0
BURITIZAL;-20,1911;-47,7096;0;0;0;0;0;0;0;0;4;0;0;0;2993;0;686;585;0;11;4684;0;0;73;0;0;4;269;210;150;0;0;0;0;0;4;0;12;0;0;0;0;0;0;0;0;15;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4547;48343345.7;0.68;Moderado;0
CABRALIA PAULISTA;-22,4576;-49,3393;0;0;0;0;0;0;1;0;0;0;0;0;1382;0;1189;1687;0;13;8896;0;0;251;0;0;0;208;446;597;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;4363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4222;37512066.92;0.645;Moderado;0
CABREUVA;-23,3053;-47,1362;0;0;0;2;0;0;5;10;8;1;0;392;14130;12979;4902;13075;950;38;61620;0;26929;1846;333;595;3059;621;1256;3106;80;0;0;144;0;602;0;187;0;0;0;0;0;0;0;0;0;0;5658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51130;396769332.71;0.662;Moderado;0
CACAPAVA;-23,0992;-45,7076;0;0;0;4;0;0;5;20;287;1;3;3233;55843;8723;13767;12905;343;228;32462;47;62310;41;19;565;3124;591;2558;985;2;109;7;2458;34;810;612;284;0;0;14;22;0;0;0;0;0;25380;16283;0;5;4;2;10;0;34;20;12;56;0;1152;18;0;0;0;36;0;0;0;4;4;0;0;0;0;0;95752;429975172.63;0.763;Estruturado;0
CACHOEIRA PAULISTA;-22,6665;-45,0154;0;0;0;1;0;0;3;10;40;0;0;1447;16054;2775;8297;2471;0;0;12471;0;11475;0;0;0;1126;583;480;510;0;0;0;13;0;297;0;45;0;0;3;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33827;128673823.13;0.509;Em risco;0
CACONDE;-21,528;-46,6437;0;0;0;1;0;0;2;5;23;0;0;0;7841;223;6138;2430;0;99;8037;1;4482;188;7;133;30;467;644;651;0;0;0;24;0;45;0;122;0;0;0;0;0;0;0;0;42;3710;3692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19031;88990955.81;0.585;Em risco;0
CAFELANDIA;-21,8031;-49,6092;0;0;0;1;0;0;0;3;30;0;0;533;7413;614;4698;2822;0;0;19902;0;956;613;520;10;392;330;300;439;0;0;0;31;0;811;0;78;0;0;0;0;0;0;0;0;0;0;9275;0;1;0;0;0;0;0;1;6;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17917;107562396.02;0.701;Estruturado;0
CAIABU;-22,0127;-51,2394;0;0;0;0;0;0;1;0;0;0;0;0;664;0;2564;291;0;4;0;0;0;0;0;0;0;408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4195;36114581.67;0.287;Crítico;3
CAIEIRAS;-23,3607;-46,7397;1;0;0;2;0;0;4;27;42;2;0;3827;52632;21514;1979;7675;6832;493;76374;0;56764;1048;34;641;950;1216;0;3310;0;0;0;29;0;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104044;503213777.57;0.631;Moderado;0
CAIUA;-21,8322;-51,9969;0;0;0;0;0;0;0;0;0;0;0;0;493;0;3106;708;0;8;3490;0;0;509;0;0;1;162;96;301;0;0;0;6;0;0;0;31;0;0;0;0;0;0;0;0;0;0;2729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6017;50933695.65;0.576;Em risco;0
CAJAMAR;-23,355;-46,8781;0;0;1;1;0;0;2;26;61;1;0;1944;28920;23650;5475;20748;10708;202;80385;0;57498;0;0;2307;5167;5756;0;1575;0;219;0;58;234;4216;2;0;0;0;0;0;0;0;0;0;0;0;5707;0;3;0;0;24;0;0;0;33;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79034;1037751955.71;0.731;Estruturado;0
CAJATI;-24,7324;-48,1223;0;0;0;0;0;0;3;6;14;1;1;0;4876;1076;8496;13840;0;402;21228;0;6909;652;0;341;740;922;110;2115;0;0;0;47;0;179;0;0;0;0;0;0;0;0;0;0;20;0;446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28441;186687754.53;0.554;Em risco;0
CAJOBI;-20,8773;-48,8063;0;0;0;1;0;0;0;1;2;0;1;0;5088;138;2872;843;0;0;3971;0;0;259;0;0;294;350;0;170;0;0;0;32;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;28;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10649;59080134.8;0.377;Crítico;3
CAJURU;-21,2749;-47,303;0;0;0;1;0;0;4;12;47;1;3;0;11390;400;6589;5070;0;0;11519;8;10675;11;38;135;831;324;893;562;0;41;0;299;25;808;0;40;0;0;0;0;0;0;0;0;24;0;300;0;11;0;2;2;0;12;8;22;0;0;611;15;0;0;0;4;0;0;0;0;2;0;0;0;0;0;26613;118783518.18;0.644;Moderado;0
CAMPINA DO MONTE ALEGRE;-23,5895;-48,4758;0;0;0;0;0;0;0;0;0;0;0;0;1606;866;1200;2023;0;17;2533;0;0;0;0;0;49;112;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6088;39264947.0;0.301;Crítico;3
CAMPINAS;-22,9053;-47,0659;1;0;2;34;1;0;22;331;2447;5;21;164725;527920;148728;66893;81633;139454;839;321999;110;611016;17096;727;10640;31727;4178;601;13947;351;3636;860;1990;1179;27498;2123;195;8;53;111;0;369;2141;3377;0;565;0;757;0;48;184;54;232;766;439;432;356;110;103;16623;355;25;130;34;1568;0;75;3;25;77;0;0;0;1;0;1223237;8143599534.7;0.618;Moderado;2
CAMPO LIMPO PAULISTA;-23,2078;-46,7889;0;0;1;0;0;0;4;16;16;0;0;955;37150;8741;6635;18946;2983;97;86063;819;31827;20493;183;464;3382;4810;21;2151;0;464;0;841;61;705;6;141;0;109;0;0;0;0;2237;0;0;0;2289;0;34;22;0;30;70;2;0;54;16;0;896;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;86407;355791075.03;0.575;Em risco;0
CAMPOS DO JORDAO;-22,7296;-45,5833;0;0;1;1;0;0;3;8;57;0;4;140;18710;5540;5633;4934;9061;164;35326;0;17363;1695;58;360;1811;251;1118;2478;0;0;0;15;0;315;0;115;0;0;0;0;0;0;0;0;0;0;5389;0;6;0;0;13;0;8;0;38;0;0;426;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52713;333121885.67;0.655;Moderado;0
CAMPOS NOVOS PAULISTA;-22,602;-49,9987;0;0;0;0;0;0;1;0;0;0;0;0;1682;0;1092;2090;0;3;9700;0;0;349;0;0;0;407;220;445;0;0;0;1;0;0;0;25;0;0;0;0;0;0;0;0;42;10390;2923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5028;45418109.52;0.643;Moderado;0
CANANEIA;-25,0144;-47,9341;0;0;0;0;0;0;0;1;4;0;0;0;4153;1403;3464;2246;0;0;5125;0;0;76;0;0;514;190;0;165;0;0;0;1;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12542;96109218.42;0.375;Crítico;3
CANAS;-22,7003;-45,0521;0;0;0;0;0;0;0;0;0;0;0;0;1298;267;1015;2125;0;0;288;0;0;0;0;0;0;2;70;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5268;36612147.6;0.196;Crítico;3
CANDIDO MOTA;-22,7471;-50,3873;0;0;0;1;0;0;2;4;57;0;0;0;16340;349;7936;4391;0;142;23003;0;19533;0;41;120;926;2456;0;777;11;0;0;105;95;1049;9;0;0;0;0;0;0;0;0;0;62;0;4370;0;6;3;0;4;0;43;11;11;0;0;396;77;0;2;1;7;0;0;0;0;4;0;0;0;0;0;31410;200088163.74;0.723;Estruturado;0
CANDIDO RODRIGUES;-21,3275;-48,6327;0;0;0;0;0;0;0;0;0;0;0;0;1441;0;1435;0;0;4;120;0;0;0;0;27;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2805;33885142.01;0.287;Crítico;3
CANITAR;-23,004;-49,7839;0;0;0;0;0;0;0;0;0;0;0;0;0;772;2970;2328;0;76;147;0;559;0;0;0;8;310;63;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5365;37553465.39;0.195;Crítico;3
CAPAO BONITO;-24,0113;-48,3482;0;0;0;1;0;0;6;6;27;0;1;0;13888;2086;14003;15880;0;0;18144;0;18001;97;19;223;1886;602;367;443;68;0;0;115;33;594;0;147;0;0;0;0;0;0;0;0;0;0;7100;0;3;0;0;21;4;8;2;27;1;0;654;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47098;237788073.91;0.502;Em risco;0
CAPELA DO ALTO;-23,4685;-47,7388;0;0;0;0;0;0;2;2;5;1;0;0;4220;2584;4958;8709;0;43;19508;0;0;1449;0;0;1184;165;241;585;0;0;0;11;0;68;0;42;0;0;0;0;0;0;0;0;4;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21257;110803622.29;0.492;Em risco;3
CAPIVARI;-22,9951;-47,5071;0;0;0;2;0;0;3;11;96;1;0;164;21992;14611;4841;7187;756;229;29688;0;19235;1825;34;390;1127;717;2142;1423;0;130;0;59;48;853;49;361;0;0;11;0;0;0;0;0;53;0;7391;0;6;2;0;18;7;14;16;30;26;0;554;16;3;1;1;18;0;0;0;3;3;0;0;0;0;0;56973;350874073.27;0.68;Moderado;0
CARAGUATATUBA;-23,6125;-45,4125;2;0;0;4;0;0;9;48;122;3;7;3097;59191;15331;11756;37165;5201;667;93479;44;131218;501;235;3222;8580;3341;883;5513;204;1344;209;2374;1;7730;947;151;0;41;130;224;0;0;2817;0;137;0;7786;69;22;12;1;45;51;49;59;104;9;0;1450;53;2;2;4;78;0;8;0;0;17;0;0;0;0;0;125194;1273022737.0;0.756;Estruturado;1
CARAPICUIBA;-23,5235;-46,8407;1;0;0;1;1;0;4;33;73;2;9;8107;168368;63807;30826;54262;59707;535;99327;0;66;3401;0;0;13900;0;710;4662;0;0;0;176;0;696;0;381;0;0;0;0;0;0;0;0;0;0;7361;0;7;0;0;0;0;0;0;0;0;0;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405375;933328581.05;0.24;Crítico;1
CARDOSO;-20,08;-49,9183;0;0;0;1;0;0;0;0;10;0;1;0;3437;664;5315;1841;0;15;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12371;84399653.32;0.256;Crítico;3
CASA BRANCA;-21,7708;-47,0852;1;0;0;1;2;0;1;7;63;1;0;0;13860;3653;4625;3947;0;96;11211;0;9097;37;82;0;1254;257;16;272;0;0;0;68;0;265;7;0;0;0;0;0;0;0;0;0;16;0;20;0;1;0;0;0;0;21;18;0;0;0;69;9;0;0;0;4;0;16;0;0;0;0;0;0;0;0;30655;174654224.69;0.592;Moderado;0
