municipio;alta vulnerabilidade_n_domicilios;baixa vulnerabilidade_n_domicilios;baixissima vulnerabilidade_n_domicilios;muito alta vulnerabilidade_n_domicilios;muito baixa vulnerabilidade_n_domicilios;media vulnerabilidade_n_domicilios;alta vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;baixissima vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_setores;baixa vulnerabilidade_n_setores;baixissima vulnerabilidade_n_setores;muito alta vulnerabilidade_n_setores;muito baixa vulnerabilidade_n_setores;media vulnerabilidade_n_setores
DIADEMA;18800.0;16818.0;1983.0;30721.0;61884.0;13940.0;50356.0;44270.0;5597.0;87310.0;165494.0;37449.0;89.0;73.0;15.0;195.0;296.0;70.0
DIRCE REIS;0.0;60.0;0.0;0.0;48.0;468.0;0.0;176.0;0.0;0.0;145.0;1117.0;0.0;1.0;0.0;0.0;1.0;4.0
DIVINOLANDIA;112.0;291.0;0.0;0.0;2304.0;1449.0;304.0;791.0;0.0;0.0;5914.0;3878.0;1.0;3.0;0.0;0.0;14.0;8.0
DOBRADA;766.0;145.0;0.0;0.0;1335.0;800.0;2068.0;441.0;0.0;0.0;3861.0;2293.0;4.0;1.0;0.0;0.0;7.0;6.0
DOIS CORREGOS;4305.0;926.0;0.0;0.0;2024.0;1259.0;12354.0;2489.0;0.0;0.0;5078.0;3519.0;26.0;6.0;0.0;0.0;15.0;9.0
DOLCINOPOLIS;55.0;0.0;0.0;0.0;89.0;668.0;161.0;0.0;0.0;0.0;253.0;1583.0;1.0;0.0;0.0;0.0;2.0;4.0
DOURADO;792.0;189.0;0.0;0.0;1696.0;399.0;2142.0;506.0;0.0;0.0;4212.0;1143.0;3.0;1.0;0.0;0.0;10.0;3.0
DRACENA;2078.0;1992.0;220.0;0.0;9709.0;2917.0;5673.0;5007.0;623.0;0.0;24960.0;7557.0;10.0;13.0;3.0;0.0;53.0;18.0
DUARTINA;1016.0;459.0;0.0;0.0;1538.0;1667.0;2639.0;1182.0;0.0;0.0;3897.0;4290.0;6.0;4.0;0.0;0.0;11.0;11.0
DUMONT;893.0;1129.0;0.0;0.0;1004.0;235.0;2633.0;3211.0;0.0;0.0;2852.0;671.0;4.0;5.0;0.0;0.0;7.0;1.0
ECHAPORA;320.0;448.0;0.0;0.0;572.0;824.0;996.0;1194.0;0.0;0.0;1526.0;2156.0;2.0;3.0;0.0;0.0;6.0;4.0
ELDORADO;876.0;294.0;238.0;0.0;592.0;1876.0;2695.0;788.0;630.0;0.0;1606.0;5190.0;5.0;1.0;1.0;0.0;3.0;14.0
ELIAS FAUSTO;3544.0;1073.0;0.0;0.0;1071.0;210.0;10654.0;3037.0;0.0;0.0;3127.0;644.0;14.0;4.0;0.0;0.0;6.0;4.0
ELISIARIO;216.0;212.0;0.0;0.0;152.0;604.0;529.0;572.0;0.0;0.0;432.0;1605.0;1.0;1.0;0.0;0.0;2.0;4.0
EMBAUBA;0.0;0.0;0.0;0.0;178.0;718.0;0.0;0.0;0.0;0.0;461.0;1862.0;0.0;0.0;0.0;0.0;1.0;4.0
EMBU DAS ARTES;25150.0;5686.0;713.0;18045.0;19291.0;17923.0;71003.0;16701.0;2054.0;52590.0;53604.0;50693.0;143.0;40.0;6.0;113.0;131.0;109.0
EMBU-GUACU;6973.0;2814.0;892.0;263.0;5995.0;5934.0;20238.0;8027.0;2657.0;819.0;16697.0;16720.0;53.0;17.0;5.0;3.0;50.0;42.0
EMILIANOPOLIS;444.0;0.0;0.0;0.0;0.0;645.0;1212.0;0.0;0.0;0.0;0.0;1577.0;2.0;0.0;0.0;0.0;0.0;4.0
ENGENHEIRO COELHO;3590.0;1251.0;342.0;0.0;1207.0;245.0;10517.0;3319.0;933.0;0.0;3302.0;676.0;18.0;5.0;3.0;0.0;9.0;4.0
ESPIRITO SANTO DO PINHAL;637.0;525.0;0.0;0.0;9041.0;4149.0;1824.0;1436.0;0.0;0.0;24166.0;12109.0;4.0;4.0;0.0;0.0;45.0;24.0
ESPIRITO SANTO DO TURVO;1009.0;0.0;0.0;0.0;0.0;441.0;2858.0;0.0;0.0;0.0;0.0;1202.0;8.0;0.0;0.0;0.0;0.0;4.0
ESTIVA GERBI;182.0;211.0;175.0;0.0;2117.0;1019.0;523.0;624.0;485.0;0.0;6343.0;2968.0;1.0;1.0;1.0;0.0;12.0;7.0
ESTRELA D'OESTE;631.0;0.0;0.0;0.0;2412.0;395.0;1790.0;0.0;0.0;0.0;6393.0;1035.0;4.0;0.0;0.0;0.0;13.0;3.0
ESTRELA DO NORTE;104.0;54.0;0.0;0.0;105.0;643.0;319.0;164.0;0.0;0.0;271.0;1768.0;1.0;1.0;0.0;0.0;1.0;4.0
EUCLIDES DA CUNHA PAULISTA;1273.0;0.0;0.0;0.0;0.0;1749.0;3243.0;0.0;0.0;0.0;0.0;4676.0;7.0;0.0;0.0;0.0;0.0;12.0
FARTURA;1636.0;459.0;0.0;0.0;2430.0;1486.0;4599.0;1201.0;0.0;0.0;6296.0;3930.0;7.0;3.0;0.0;0.0;15.0;8.0
FERNANDO PRESTES;0.0;0.0;0.0;0.0;1094.0;1065.0;0.0;0.0;0.0;0.0;2834.0;2857.0;0.0;0.0;0.0;0.0;6.0;8.0
FERNANDOPOLIS;3127.0;2849.0;679.0;0.0;15657.0;5199.0;8086.0;7000.0;1786.0;0.0;40242.0;13595.0;19.0;18.0;4.0;0.0;96.0;30.0
FERNAO;176.0;0.0;0.0;0.0;126.0;311.0;470.0;0.0;0.0;0.0;337.0;848.0;1.0;0.0;0.0;0.0;1.0;2.0
FERRAZ DE VASCONCELOS;12889.0;6298.0;0.0;9729.0;17160.0;14846.0;37628.0;18097.0;0.0;29794.0;48891.0;42686.0;74.0;42.0;0.0;80.0;99.0;84.0
FLORA RICA;0.0;0.0;0.0;0.0;52.0;511.0;0.0;0.0;0.0;0.0;139.0;1216.0;0.0;0.0;0.0;0.0;1.0;4.0
FLOREAL;0.0;0.0;0.0;0.0;610.0;510.0;0.0;0.0;0.0;0.0;1510.0;1208.0;0.0;0.0;0.0;0.0;4.0;3.0
FLORIDA PAULISTA;704.0;0.0;0.0;0.0;1622.0;1752.0;1927.0;0.0;0.0;0.0;4252.0;4732.0;3.0;0.0;0.0;0.0;10.0;10.0
FLORINEA;185.0;0.0;0.0;0.0;188.0;583.0;492.0;0.0;0.0;0.0;494.0;1534.0;2.0;0.0;0.0;0.0;2.0;3.0
FRANCA;13977.0;27932.0;4239.0;0.0;67506.0;13702.0;40100.0;74339.0;11015.0;0.0;185614.0;38205.0;68.0;147.0;23.0;0.0;366.0;75.0
FRANCISCO MORATO;32507.0;4172.0;173.0;7637.0;4378.0;8436.0;92055.0;11680.0;520.0;22498.0;12511.0;24604.0;191.0;27.0;1.0;64.0;33.0;55.0
FRANCO DA ROCHA;16469.0;9889.0;331.0;4719.0;12291.0;4971.0;47694.0;27822.0;1035.0;14236.0;33747.0;13726.0;96.0;56.0;1.0;42.0;80.0;33.0
GABRIEL MONTEIRO;233.0;0.0;0.0;0.0;256.0;520.0;617.0;0.0;0.0;0.0;622.0;1362.0;1.0;0.0;0.0;0.0;2.0;3.0
GALIA;518.0;0.0;0.0;0.0;685.0;1132.0;1391.0;0.0;0.0;0.0;1713.0;2957.0;3.0;0.0;0.0;0.0;5.0;8.0
GARCA;2418.0;1848.0;119.0;0.0;7232.0;3643.0;6814.0;4889.0;318.0;0.0;19251.0;9927.0;17.0;13.0;1.0;0.0;41.0;25.0
GASTAO VIDIGAL;167.0;0.0;0.0;0.0;0.0;1026.0;517.0;0.0;0.0;0.0;0.0;2574.0;2.0;0.0;0.0;0.0;0.0;8.0
GAVIAO PEIXOTO;840.0;0.0;0.0;0.0;287.0;500.0;2529.0;0.0;0.0;0.0;801.0;1333.0;4.0;0.0;0.0;0.0;1.0;5.0
GENERAL SALGADO;71.0;39.0;0.0;0.0;2295.0;1584.0;165.0;105.0;0.0;0.0;5875.0;4048.0;1.0;1.0;0.0;0.0;14.0;11.0
GETULINA;995.0;62.0;0.0;0.0;899.0;1340.0;2673.0;170.0;0.0;0.0;2328.0;3506.0;7.0;1.0;0.0;0.0;7.0;9.0
GLICERIO;319.0;0.0;0.0;0.0;610.0;561.0;928.0;0.0;0.0;0.0;1600.0;1461.0;2.0;0.0;0.0;0.0;5.0;4.0
GUAICARA;1712.0;272.0;0.0;0.0;785.0;1107.0;4873.0;778.0;0.0;0.0;2170.0;3122.0;10.0;2.0;0.0;0.0;5.0;9.0
GUAIMBE;1050.0;0.0;0.0;0.0;89.0;900.0;2877.0;0.0;0.0;0.0;244.0;2326.0;7.0;0.0;0.0;0.0;1.0;6.0
GUAIRA;2831.0;2110.0;0.0;0.0;7940.0;1681.0;7555.0;5945.0;0.0;0.0;20948.0;4336.0;13.0;9.0;0.0;0.0;36.0;10.0
GUAPIACU;2314.0;989.0;151.0;0.0;2475.0;1705.0;6479.0;2950.0;396.0;0.0;6917.0;4644.0;11.0;5.0;1.0;0.0;17.0;10.0
GUAPIARA;2116.0;192.0;0.0;0.0;356.0;3436.0;5912.0;501.0;0.0;0.0;985.0;9493.0;17.0;2.0;0.0;0.0;3.0;32.0
GUARA;2052.0;242.0;0.0;0.0;2126.0;2153.0;5902.0;622.0;0.0;0.0;5679.0;6076.0;10.0;2.0;0.0;0.0;11.0;12.0
GUARACAI;292.0;0.0;0.0;0.0;1490.0;1037.0;806.0;0.0;0.0;0.0;3691.0;2597.0;2.0;0.0;0.0;0.0;10.0;7.0
GUARACI;1432.0;47.0;0.0;0.0;1440.0;851.0;3892.0;134.0;0.0;0.0;3633.0;2294.0;6.0;1.0;0.0;0.0;10.0;6.0
GUARANI D'OESTE;0.0;0.0;0.0;0.0;186.0;514.0;0.0;0.0;0.0;0.0;471.0;1241.0;0.0;0.0;0.0;0.0;2.0;4.0
GUARANTA;1027.0;0.0;0.0;0.0;423.0;709.0;2904.0;0.0;0.0;0.0;1203.0;1897.0;7.0;0.0;0.0;0.0;3.0;4.0
GUARARAPES;1798.0;181.0;0.0;0.0;5386.0;4038.0;5081.0;435.0;0.0;0.0;14004.0;10743.0;10.0;1.0;0.0;0.0;33.0;23.0
GUARAREMA;1393.0;304.0;362.0;0.0;4786.0;4007.0;4182.0;838.0;972.0;0.0;12901.0;11639.0;6.0;1.0;2.0;0.0;33.0;26.0
GUARATINGUETA;5115.0;2571.0;1943.0;222.0;27479.0;3901.0;15248.0;7096.0;5072.0;732.0;75600.0;11346.0;27.0;15.0;12.0;3.0;147.0;22.0
GUAREI;1930.0;279.0;0.0;0.0;1223.0;1055.0;5353.0;665.0;0.0;0.0;3273.0;2891.0;12.0;1.0;0.0;0.0;11.0;8.0
GUARIBA;4492.0;779.0;0.0;0.0;5445.0;2181.0;13246.0;2360.0;0.0;0.0;15114.0;5983.0;24.0;5.0;0.0;0.0;31.0;14.0
GUARUJA;5205.0;10428.0;2768.0;34241.0;38521.0;6295.0;15382.0;29605.0;6654.0;105123.0;106676.0;18643.0;28.0;63.0;40.0;193.0;265.0;30.0
GUARULHOS;86397.0;57341.0;21992.0;69358.0;171394.0;42164.0;255335.0;156157.0;60089.0;213993.0;471657.0;121205.0;404.0;297.0;161.0;382.0;892.0;214.0
GUATAPARA;1104.0;0.0;0.0;0.0;704.0;694.0;3180.0;0.0;0.0;0.0;2035.0;1964.0;7.0;0.0;0.0;0.0;5.0;4.0
GUZOLANDIA;776.0;0.0;0.0;0.0;286.0;466.0;2088.0;0.0;0.0;0.0;699.0;1166.0;5.0;0.0;0.0;0.0;3.0;4.0
HERCULANDIA;1221.0;171.0;0.0;0.0;1180.0;586.0;3319.0;475.0;0.0;0.0;3132.0;1752.0;8.0;3.0;0.0;0.0;10.0;5.0
HOLAMBRA;1184.0;378.0;862.0;0.0;2180.0;518.0;3737.0;1038.0;2305.0;0.0;6199.0;1632.0;6.0;4.0;5.0;0.0;12.0;3.0
HORTOLANDIA;12989.0;18457.0;2412.0;1319.0;35521.0;9799.0;38637.0;50871.0;7634.0;4072.0;101001.0;29071.0;56.0;82.0;12.0;10.0;157.0;41.0
IACANGA;626.0;409.0;0.0;0.0;2118.0;703.0;1826.0;1122.0;0.0;0.0;5451.0;1815.0;3.0;2.0;0.0;0.0;14.0;5.0
IACRI;531.0;58.0;0.0;0.0;515.0;962.0;1413.0;176.0;0.0;0.0;1339.0;2712.0;4.0;1.0;0.0;0.0;4.0;9.0
IARAS;881.0;273.0;0.0;0.0;217.0;385.0;2499.0;800.0;0.0;0.0;570.0;1112.0;5.0;2.0;0.0;0.0;2.0;3.0
IBATE;3939.0;1273.0;0.0;0.0;2850.0;2911.0;11646.0;3686.0;0.0;0.0;7891.0;8577.0;15.0;7.0;0.0;0.0;15.0;13.0
IBIRA;1055.0;317.0;0.0;0.0;2087.0;815.0;2807.0;882.0;0.0;0.0;5497.0;2127.0;7.0;2.0;0.0;0.0;17.0;6.0
IBIRAREMA;675.0;0.0;138.0;87.0;887.0;555.0;1912.0;0.0;342.0;268.0;2246.0;1429.0;5.0;0.0;1.0;1.0;6.0;4.0
IBITINGA;6687.0;2141.0;95.0;0.0;8791.0;4262.0;18727.0;5824.0;275.0;0.0;22920.0;11525.0;32.0;12.0;1.0;0.0;57.0;27.0
IBIUNA;7545.0;1343.0;323.0;408.0;5420.0;10016.0;22241.0;3808.0;951.0;1251.0;15013.0;28591.0;64.0;10.0;3.0;4.0;45.0;107.0
ICEM;719.0;0.0;0.0;0.0;944.0;867.0;2044.0;0.0;0.0;0.0;2457.0;2250.0;3.0;0.0;0.0;0.0;6.0;5.0
IEPE;1168.0;455.0;0.0;0.0;893.0;167.0;3046.0;1266.0;0.0;0.0;2239.0;441.0;7.0;3.0;0.0;0.0;5.0;3.0
IGARACU DO TIETE;1248.0;943.0;0.0;0.0;2063.0;3915.0;3733.0;2665.0;0.0;0.0;5584.0;10810.0;8.0;5.0;0.0;0.0;12.0;20.0
IGARAPAVA;2453.0;114.0;0.0;0.0;4203.0;3041.0;6746.0;323.0;0.0;0.0;10952.0;8054.0;15.0;1.0;0.0;0.0;26.0;16.0
IGARATA;564.0;391.0;0.0;0.0;1392.0;1376.0;1528.0;1094.0;0.0;0.0;3698.0;3718.0;5.0;2.0;0.0;0.0;8.0;13.0
IGUAPE;550.0;0.0;0.0;0.0;3971.0;5637.0;1723.0;0.0;0.0;0.0;10293.0;15149.0;4.0;0.0;0.0;0.0;23.0;43.0
ILHA COMPRIDA;363.0;202.0;0.0;0.0;3078.0;1459.0;941.0;512.0;0.0;0.0;7747.0;3732.0;4.0;2.0;0.0;0.0;30.0;15.0
ILHA SOLTEIRA;393.0;1001.0;628.0;0.0;6567.0;1035.0;1077.0;2542.0;1695.0;0.0;17187.0;2817.0;3.0;7.0;5.0;0.0;38.0;6.0
ILHABELA;888.0;3091.0;171.0;2318.0;5684.0;116.0;2482.0;8454.0;429.0;6829.0;15082.0;319.0;5.0;19.0;3.0;19.0;48.0;2.0
INDAIATUBA;6384.0;14366.0;16354.0;0.0;48221.0;4969.0;19041.0;41337.0;45853.0;0.0;132729.0;14866.0;25.0;51.0;69.0;0.0;193.0;18.0
INDIANA;56.0;61.0;0.0;0.0;899.0;898.0;151.0;175.0;0.0;0.0;2401.0;2350.0;1.0;1.0;0.0;0.0;5.0;5.0
INDIAPORA;191.0;0.0;0.0;0.0;453.0;996.0;452.0;0.0;0.0;0.0;1182.0;2335.0;1.0;0.0;0.0;0.0;4.0;7.0
INUBIA PAULISTA;0.0;0.0;0.0;0.0;41.0;1213.0;0.0;0.0;0.0;0.0;107.0;3303.0;0.0;0.0;0.0;0.0;1.0;5.0
IPAUSSU;878.0;237.0;0.0;0.0;1957.0;1697.0;2660.0;706.0;0.0;0.0;5284.0;4720.0;5.0;2.0;0.0;0.0;15.0;11.0
IPERO;5094.0;1052.0;0.0;0.0;4736.0;733.0;14671.0;3070.0;0.0;0.0;13412.0;2039.0;23.0;5.0;0.0;0.0;21.0;6.0
IPEUNA;699.0;538.0;0.0;0.0;751.0;379.0;1992.0;1445.0;0.0;0.0;2135.0;1200.0;4.0;3.0;0.0;0.0;5.0;3.0
IPIGUA;316.0;0.0;0.0;0.0;811.0;1237.0;894.0;0.0;0.0;0.0;2283.0;3372.0;3.0;0.0;0.0;0.0;8.0;7.0
IPORANGA;89.0;0.0;0.0;0.0;381.0;543.0;258.0;0.0;0.0;0.0;969.0;1529.0;1.0;0.0;0.0;0.0;2.0;4.0
IPUA;1080.0;0.0;0.0;0.0;2565.0;1560.0;2929.0;0.0;0.0;0.0;6815.0;4336.0;5.0;0.0;0.0;0.0;11.0;7.0
IRACEMAPOLIS;529.0;1287.0;123.0;0.0;4912.0;630.0;1625.0;3724.0;376.0;0.0;14025.0;2012.0;3.0;7.0;1.0;0.0;30.0;5.0
IRAPUA;556.0;0.0;0.0;0.0;537.0;1364.0;1574.0;0.0;0.0;0.0;1476.0;3784.0;4.0;0.0;0.0;0.0;4.0;8.0
IRAPURU;173.0;0.0;0.0;0.0;655.0;1423.0;451.0;0.0;0.0;0.0;1591.0;3545.0;1.0;0.0;0.0;0.0;5.0;9.0
ITABERA;2785.0;1094.0;0.0;0.0;810.0;1281.0;7810.0;2879.0;0.0;0.0;2215.0;3456.0;20.0;8.0;0.0;0.0;5.0;14.0
ITAI;4140.0;835.0;52.0;0.0;2379.0;1087.0;11706.0;2355.0;152.0;0.0;6514.0;2901.0;26.0;5.0;1.0;0.0;20.0;11.0
ITAJOBI;1023.0;1439.0;0.0;0.0;2284.0;1393.0;2906.0;3950.0;0.0;0.0;6163.0;3716.0;6.0;8.0;0.0;0.0;17.0;9.0
ITAJU;455.0;169.0;0.0;0.0;394.0;221.0;1267.0;467.0;0.0;0.0;1067.0;684.0;3.0;1.0;0.0;0.0;3.0;3.0
ITANHAEM;9588.0;2327.0;259.0;192.0;19406.0;9672.0;27518.0;6016.0;570.0;554.0;49902.0;26356.0;48.0;13.0;1.0;3.0;160.0;52.0
ITAOCA;243.0;145.0;0.0;0.0;0.0;808.0;660.0;412.0;0.0;0.0;0.0;2144.0;2.0;1.0;0.0;0.0;0.0;8.0
ITAPECERICA DA SERRA;14155.0;5549.0;454.0;4651.0;13133.0;15650.0;42332.0;15758.0;1409.0;13642.0;37264.0;44986.0;88.0;35.0;3.0;34.0;102.0;110.0
ITAPETININGA;9286.0;9380.0;1110.0;0.0;27241.0;7174.0;28017.0;26621.0;3337.0;0.0;74740.0;20523.0;42.0;37.0;8.0;0.0;118.0;39.0
ITAPEVA;9349.0;3632.0;615.0;0.0;10822.0;6789.0;27923.0;9894.0;1626.0;0.0;29076.0;19321.0;44.0;19.0;4.0;0.0;51.0;46.0
ITAPEVI;36635.0;12932.0;978.0;4868.0;16782.0;9418.0;105351.0;36206.0;2863.0;13820.0;46859.0;26267.0;128.0;44.0;3.0;26.0;64.0;36.0
ITAPIRA;2884.0;1653.0;382.0;0.0;16331.0;4674.0;8457.0;4439.0;1058.0;0.0;43295.0;13429.0;12.0;10.0;5.0;0.0;89.0;27.0
ITAPIRAPUA PAULISTA;1077.0;0.0;0.0;0.0;0.0;482.0;2963.0;0.0;0.0;0.0;0.0;1342.0;9.0;0.0;0.0;0.0;0.0;6.0
ITAPOLIS;2724.0;1059.0;0.0;0.0;7725.0;3179.0;7534.0;2844.0;0.0;0.0;19478.0;8680.0;17.0;7.0;0.0;0.0;48.0;20.0
ITAPORANGA;1362.0;274.0;0.0;0.0;1455.0;2039.0;3825.0;710.0;0.0;0.0;3753.0;5487.0;10.0;2.0;0.0;0.0;11.0;20.0
ITAPUI;1825.0;0.0;0.0;0.0;1390.0;1348.0;5401.0;0.0;0.0;0.0;3797.0;3907.0;9.0;0.0;0.0;0.0;8.0;6.0
ITAPURA;694.0;336.0;0.0;0.0;0.0;438.0;1851.0;879.0;0.0;0.0;0.0;1133.0;5.0;2.0;0.0;0.0;0.0;3.0
ITAQUAQUECETUBA;27624.0;11736.0;88.0;29102.0;28384.0;24629.0;83599.0;34428.0;297.0;90935.0;83949.0;73998.0;129.0;58.0;1.0;142.0;140.0;115.0
ITARARE;4660.0;1699.0;86.0;0.0;6112.0;3487.0;13253.0;4440.0;220.0;0.0;15966.0;9164.0;29.0;13.0;1.0;0.0;52.0;30.0
ITARIRI;1743.0;288.0;0.0;0.0;1380.0;2063.0;4990.0;739.0;0.0;0.0;3762.0;5486.0;9.0;1.0;0.0;0.0;9.0;20.0
ITATIBA;8276.0;7577.0;3349.0;0.0;22361.0;1711.0;23768.0;20692.0;9646.0;0.0;60878.0;4867.0;35.0;27.0;23.0;0.0;128.0;12.0
ITATINGA;1760.0;532.0;0.0;0.0;1997.0;1424.0;5413.0;1546.0;0.0;0.0;5791.0;4374.0;11.0;5.0;0.0;0.0;16.0;11.0
ITIRAPINA;725.0;719.0;0.0;247.0;2678.0;248.0;2180.0;2028.0;0.0;708.0;7051.0;691.0;5.0;4.0;0.0;4.0;20.0;2.0
ITIRAPUA;461.0;0.0;0.0;0.0;296.0;1248.0;1361.0;0.0;0.0;0.0;803.0;3592.0;4.0;0.0;0.0;0.0;2.0;7.0
ITOBI;1083.0;148.0;0.0;0.0;1117.0;518.0;3025.0;392.0;0.0;0.0;3016.0;1432.0;4.0;1.0;0.0;0.0;6.0;4.0
ITU;9606.0;8570.0;3609.0;1061.0;29834.0;6302.0;28130.0;23072.0;10112.0;3226.0;83082.0;18494.0;41.0;37.0;19.0;6.0;128.0;39.0
ITUPEVA;6908.0;5888.0;2475.0;0.0;7358.0;703.0;21100.0;17034.0;7465.0;0.0;21783.0;2131.0;34.0;30.0;22.0;0.0;51.0;5.0
ITUVERAVA;2823.0;235.0;723.0;0.0;6388.0;3725.0;7811.0;638.0;1955.0;0.0;16741.0;9985.0;14.0;3.0;4.0;0.0;36.0;22.0
JABORANDI;0.0;0.0;0.0;0.0;936.0;1223.0;0.0;0.0;0.0;0.0;2406.0;3449.0;0.0;0.0;0.0;0.0;7.0;5.0
JABOTICABAL;4161.0;3240.0;1578.0;0.0;14674.0;3470.0;11763.0;7718.0;4125.0;0.0;37775.0;9497.0;21.0;20.0;11.0;0.0;94.0;21.0
JACAREI;9819.0;10908.0;4170.0;2109.0;49196.0;8078.0;29158.0;29290.0;12644.0;6365.0;136385.0;23837.0;52.0;66.0;31.0;14.0;279.0;42.0
JACI;592.0;1322.0;0.0;0.0;197.0;514.0;1746.0;3729.0;0.0;0.0;569.0;1370.0;3.0;5.0;0.0;0.0;2.0;4.0
JACUPIRANGA;1290.0;69.0;0.0;0.0;2620.0;1728.0;3714.0;191.0;0.0;0.0;6945.0;4884.0;6.0;1.0;0.0;0.0;12.0;17.0
JAGUARIUNA;2193.0;7794.0;986.0;0.0;9635.0;616.0;6528.0;21601.0;2867.0;0.0;25921.0;1611.0;9.0;31.0;8.0;0.0;42.0;6.0
JALES;2174.0;1563.0;110.0;0.0;11190.0;4013.0;5731.0;3853.0;343.0;0.0;28454.0;10184.0;10.0;9.0;1.0;0.0;66.0;23.0
JAMBEIRO;433.0;0.0;140.0;0.0;941.0;677.0;1228.0;0.0;408.0;0.0;2564.0;1920.0;2.0;0.0;2.0;0.0;8.0;8.0
JANDIRA;11635.0;12651.0;2198.0;1692.0;11602.0;2195.0;32847.0;35113.0;6947.0;4963.0;31856.0;6177.0;45.0;45.0;9.0;11.0;42.0;9.0
JARDINOPOLIS;2750.0;2728.0;175.0;0.0;7558.0;1526.0;8626.0;8011.0;521.0;0.0;21191.0;4588.0;12.0;14.0;1.0;0.0;36.0;7.0
JARINU;4819.0;1557.0;104.0;0.0;4264.0;1528.0;14297.0;4450.0;320.0;0.0;11916.0;4476.0;26.0;11.0;1.0;0.0;44.0;17.0
JAU;7679.0;5896.0;769.0;0.0;29359.0;4528.0;22680.0;15869.0;2183.0;0.0;77911.0;13365.0;40.0;33.0;7.0;0.0;164.0;27.0
JERIQUARA;144.0;0.0;0.0;0.0;572.0;575.0;454.0;0.0;0.0;0.0;1664.0;1663.0;1.0;0.0;0.0;0.0;4.0;3.0
JOANOPOLIS;1032.0;307.0;0.0;0.0;2183.0;971.0;2879.0;774.0;0.0;0.0;5946.0;2735.0;9.0;2.0;0.0;0.0;15.0;8.0
JOAO RAMALHO;0.0;0.0;0.0;0.0;381.0;1090.0;0.0;0.0;0.0;0.0;1155.0;3007.0;0.0;0.0;0.0;0.0;1.0;6.0
JOSE BONIFACIO;4513.0;3375.0;0.0;0.0;4200.0;1204.0;12614.0;9202.0;0.0;0.0;11276.0;3322.0;22.0;15.0;0.0;0.0;25.0;8.0
JULIO MESQUITA;1266.0;0.0;0.0;0.0;0.0;240.0;3482.0;0.0;0.0;0.0;0.0;618.0;6.0;0.0;0.0;0.0;0.0;1.0
JUMIRIM;193.0;0.0;0.0;0.0;645.0;46.0;660.0;0.0;0.0;0.0;1921.0;130.0;2.0;0.0;0.0;0.0;7.0;1.0
JUNDIAI;9775.0;23881.0;27082.0;5783.0;92031.0;2892.0;28423.0;65079.0;71373.0;17917.0;245216.0;8270.0;47.0;144.0;176.0;32.0;639.0;23.0
JUNQUEIROPOLIS;1590.0;169.0;0.0;0.0;3654.0;1502.0;4372.0;469.0;0.0;0.0;9603.0;4042.0;6.0;1.0;0.0;0.0;27.0;8.0
JUQUIA;771.0;212.0;0.0;0.0;1559.0;3746.0;2167.0;562.0;0.0;0.0;4098.0;10164.0;7.0;2.0;0.0;0.0;7.0;30.0
JUQUITIBA;4754.0;635.0;0.0;0.0;324.0;3897.0;13146.0;1722.0;0.0;0.0;883.0;10445.0;41.0;4.0;0.0;0.0;4.0;53.0
LAGOINHA;513.0;0.0;0.0;0.0;537.0;985.0;1293.0;0.0;0.0;0.0;1287.0;2309.0;3.0;0.0;0.0;0.0;5.0;7.0
LARANJAL PAULISTA;1757.0;2072.0;302.0;0.0;4567.0;482.0;5300.0;5824.0;783.0;0.0;12599.0;1399.0;7.0;11.0;1.0;0.0;25.0;6.0
LAVINIA;216.0;0.0;0.0;0.0;895.0;632.0;600.0;0.0;0.0;0.0;2278.0;1669.0;3.0;0.0;0.0;0.0;7.0;5.0
LAVRINHAS;233.0;281.0;0.0;0.0;738.0;1082.0;654.0;812.0;0.0;0.0;2193.0;3342.0;1.0;2.0;0.0;0.0;5.0;7.0
LEME;10131.0;2482.0;1209.0;0.0;14175.0;7580.0;29606.0;6523.0;3103.0;0.0;36490.0;21704.0;40.0;8.0;4.0;0.0;71.0;35.0
LENCOIS PAULISTA;1381.0;2529.0;864.0;0.0;14725.0;3239.0;4223.0;7249.0;2235.0;0.0;42649.0;9694.0;6.0;7.0;7.0;0.0;65.0;14.0
LIMEIRA;11093.0;16692.0;5950.0;0.0;56537.0;13255.0;34046.0;44905.0;15957.0;0.0;153609.0;39317.0;65.0;109.0;44.0;0.0;375.0;82.0
LINDOIA;426.0;564.0;0.0;0.0;1241.0;300.0;1164.0;1641.0;0.0;0.0;3218.0;832.0;2.0;3.0;0.0;0.0;10.0;3.0
LINS;3311.0;4513.0;1056.0;0.0;16408.0;2879.0;8978.0;11633.0;2837.0;0.0;42004.0;7973.0;21.0;24.0;8.0;0.0;90.0;18.0
LORENA;3391.0;2249.0;267.0;306.0;19430.0;4228.0;10358.0;5847.0;648.0;1025.0;53574.0;12681.0;16.0;15.0;2.0;1.0;110.0;22.0
LOURDES;69.0;0.0;0.0;0.0;0.0;674.0;192.0;0.0;0.0;0.0;0.0;1635.0;1.0;0.0;0.0;0.0;0.0;5.0
LOUVEIRA;7201.0;3408.0;1280.0;79.0;5082.0;735.0;20494.0;9714.0;3741.0;246.0;15033.0;2167.0;26.0;14.0;10.0;1.0;30.0;6.0
