municipio;acoes coletivas / individuais em saude;vigilancia em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico em vigilancia epidemiologica e ambiental;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;anestesiologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;autorizacao / regulacao;total
CAP�O BONITO;7100.0;;97.0;18001.0;;1886.0;223.0;;;;33.0;;594.0;;;443.0;18144.0;602.0;19.0;;;;367.0;68.0;;115.0;;5.0;;;;22.0;2.0;1.0;;;;147.0;;;;;;;;;;;;;;47869
CAPELA DO ALTO;198.0;43.0;1449.0;;;1184.0;;;;;;;68.0;;;585.0;19508.0;165.0;;;;;241.0;;;11.0;;;;;;;;;;;;42.0;;;;;;;;;;4.0;;;;23498
CAPIVARI;7391.0;229.0;1825.0;19235.0;49.0;1127.0;390.0;130.0;;;48.0;;853.0;;;1423.0;29688.0;717.0;34.0;;;11.0;2142.0;;;59.0;;4.0;;;1.0;;;;;;;361.0;;;;;;;;;;53.0;;;;65770
CARAGUATATUBA;7786.0;667.0;501.0;131218.0;947.0;8580.0;3222.0;1344.0;209.0;;1.0;;7730.0;224.0;44.0;5513.0;93479.0;3341.0;235.0;;2817.0;130.0;883.0;204.0;;2374.0;;25.0;73.0;;1.0;11.0;1.0;;;3.0;;151.0;280.0;41.0;11.0;;;;;;;137.0;5.0;69.0;;272257
CARAPICU�BA;7361.0;535.0;3401.0;66.0;;13900.0;;;;;;;696.0;;;4662.0;99327.0;;;;;;710.0;;;176.0;;1.0;;;;;;;;;;381.0;;;;;;;;;;;;;;131216
CARDOSO;;15.0;;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86
CASA BRANCA;20.0;96.0;37.0;9097.0;7.0;1254.0;;;;;;;265.0;;;272.0;11211.0;257.0;82.0;;;;16.0;;;68.0;;;2.0;;;;;;;;;;;;;;;;;;;16.0;;;;22700
C�SSIA DOS COQUEIROS;;;;;;;;;;;;;;;;;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37
CASTILHO;6719.0;17.0;780.0;1558.0;;436.0;;;;;;;82.0;;;1119.0;24544.0;867.0;11.0;;;;308.0;;;50.0;;18.0;;;3.0;;;;;;;186.0;;;;;;;;;;;;;;36698
CATANDUVA;20381.0;887.0;5817.0;4794.0;;1813.0;1.0;;;;;;2009.0;;;5657.0;96231.0;1604.0;706.0;;;;5511.0;1.0;;123.0;;119.0;174.0;;;;;;;;;439.0;3.0;;;;;;;;;260.0;;;7935;154465
CATIGU�;;18.0;;;;;;;;;;;;;;;30.0;684.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;732
CEDRAL;480.0;56.0;587.0;3189.0;;338.0;;;;;;;;;;185.0;10538.0;461.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15834
CERQUEIRA C�SAR;9.0;30.0;;;;;;;;;;;;;;244.0;532.0;;;;;;17.0;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;834
CERQUILHO;3680.0;410.0;1163.0;19839.0;;1916.0;146.0;;;;;;382.0;;;1489.0;53402.0;650.0;50.0;;;6.0;1326.0;;;80.0;;49.0;;;2.0;1.0;;;;;;84.0;;;;;;;;;;35.0;;;20;84730
CES�RIO LANGE;;110.0;;3513.0;;775.0;379.0;8.0;24.0;;71.0;;63.0;;;;6098.0;;6.0;;;;;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;11063
CHARQUEADA;5508.0;;346.0;135.0;;295.0;;;;;;;78.0;;20.0;529.0;15853.0;847.0;;;;;433.0;;;70.0;;;;;2.0;;;;;;;54.0;;;;;;;;;;;;;1166;25336
CHAVANTES;6222.0;31.0;45.0;1.0;;;;;;;;;11.0;;;231.0;8348.0;164.0;;;;;31.0;;;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;15119
CLEMENTINA;1672.0;141.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1813
COLINA;4745.0;104.0;161.0;10904.0;;987.0;335.0;;;;;;282.0;;;385.0;15381.0;;10.0;;;;464.0;;;18.0;;;;;;;;;;;;102.0;;;;;;;;;;;;;;33878
COL�MBIA;3448.0;49.0;25.0;2781.0;;79.0;31.0;;;;;;36.0;;;151.0;4020.0;132.0;2.0;;;;92.0;;;13.0;;;;;;;;;;;;15.0;;;;;;;;;;51.0;;;;10925
CONCHAL;825.0;340.0;1.0;18222.0;;1027.0;;106.0;;;;;181.0;;;295.0;13925.0;109.0;14.0;;;;;;;219.0;;;;;;6.0;;;;;;;;4.0;;;;;;;;;;;2390;37664
CONCHAS;1318.0;14.0;;6480.0;;909.0;134.0;;;;;;175.0;;;265.0;17901.0;;;;;;101.0;;;71.0;;;;;;;;;;;;76.0;;;;;;;;;;;;;;27444
CORDEIR�POLIS;204.0;28.0;2193.0;14142.0;;1125.0;297.0;;;;;;317.0;;;329.0;19375.0;1264.0;;;;;621.0;;;;;;;;;;;;;;;22.0;;;;;;;;;;20.0;;;;39937
COROADOS;2394.0;7.0;55.0;;;;;;;;;;;;;414.0;8913.0;338.0;;;;;65.0;;;1.0;;;;;;;;;;;;21.0;;;;;;;;;;36.0;;;;12244
CORONEL MACEDO;;11.0;;471.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;482
CORUMBATA�;883.0;18.0;55.0;;;15.0;54.0;;2.0;;;;7.0;;;209.0;4925.0;148.0;;;;;110.0;;;2.0;;;;;;;;;;;;15.0;;;;;;;;;;;;;1302;7745
COSM�POLIS;4765.0;75.0;84.0;32294.0;;2086.0;763.0;106.0;;;85.0;;1017.0;;;158.0;11183.0;893.0;165.0;;;;95.0;78.0;;1.0;;;;;;;;;;;;31.0;;;;;;;;;;;;;4929;58808
COSMORAMA;1.0;115.0;;2911.0;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3030
COTIA;9646.0;199.0;15224.0;21.0;;8210.0;637.0;;;;87.0;;1195.0;;;9292.0;175131.0;3799.0;42.0;;;;698.0;3.0;;458.0;;;;9.0;;;8.0;;;;;122.0;;;;;;;;;;;;;;224781
CRAVINHOS;1183.0;;4332.0;4323.0;;3183.0;;;;;;;576.0;;;310.0;18505.0;288.0;;;;;649.0;;;35.0;;12.0;;;;;;;;;;132.0;;;;;;;;;;;;;;33528
CRISTAIS PAULISTA;40.0;57.0;6.0;2157.0;;236.0;;;;;;;;;;24.0;3568.0;270.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;;;;6382
CRUZ�LIA;2646.0;1273.0;3.0;;;;;;;;;;1.0;;;157.0;5214.0;44.0;;;;;126.0;;;2.0;;;;;;;;;;;;4.0;;;;;;;;;;;;;1164;10634
CRUZEIRO;201.0;525.0;146.0;51967.0;2.0;2277.0;344.0;461.0;;;;;468.0;14.0;;506.0;26223.0;793.0;42.0;;808.0;7.0;226.0;;;176.0;;2.0;;;;4.0;;;;;;52.0;;4.0;6.0;;;;;;;12.0;11.0;;18036;103313
CUBAT�O;2893.0;106.0;420.0;65069.0;545.0;5559.0;1862.0;571.0;;;104.0;;1302.0;316.0;;1972.0;89844.0;6288.0;;;;244.0;964.0;;;54.0;;7.0;;;47.0;;1.0;;;;4.0;289.0;;107.0;;;;;;;;;;;;178568
CUNHA;7462.0;293.0;65.0;4567.0;4.0;769.0;67.0;;;;;;173.0;;116.0;853.0;11600.0;290.0;36.0;;;;613.0;;;84.0;;2.0;;;;;;;;;;123.0;;;;;;;;;;10.0;;;;27127
DESCALVADO;2737.0;218.0;373.0;11998.0;;1486.0;483.0;;;;;;352.0;;;440.0;24155.0;506.0;7.0;;;;2103.0;11.0;;227.0;;2.0;;;;1.0;;;;;;98.0;;24.0;;;;;;;;238.0;;;3565;49024
DIADEMA;3519.0;512.0;3610.0;195485.0;1795.0;10388.0;1133.0;218.0;;;166.0;;9179.0;;;4788.0;137140.0;8236.0;197.0;;;;122.0;76.0;;249.0;;95.0;75.0;4.0;;7.0;7.0;;;;;11.0;5.0;1.0;;;;;;;;19.0;;;;377037
DIRCE REIS;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
DIVINOL�NDIA;;;;;;;;;;;;;;;;;47.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0;;;;84
DOBRADA;;;;;;;;;;;;;35.0;;;14.0;1250.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1299
DOIS C�RREGOS;16618.0;484.0;189.0;2153.0;;703.0;;;;;;;63.0;;;1113.0;27720.0;392.0;2.0;;;;602.0;52.0;;86.0;;;;;;;;;;;;78.0;;;;;;;;;;20.0;;;;50275
DOLCIN�POLIS;63.0;4.0;;;;;;;;;;;;;;;219.0;160.0;;;;;117.0;;;;;;;;;;;;;;;55.0;;;;;;;;;;;;;;618
DOURADO;1803.0;39.0;45.0;;;;;;;;;;;;;616.0;6391.0;;;;;;93.0;;;18.0;;2.0;;;;;;;;;;40.0;;;;;;;;;;;;;;9047
DRACENA;7789.0;299.0;769.0;27346.0;782.0;2163.0;898.0;205.0;12.0;;;;253.0;511.0;;884.0;32367.0;1571.0;171.0;;1272.0;484.0;;;;364.0;;;;;67.0;;;;;;;;;;15.0;;;;;;;;36.0;;5379;83637
DUARTINA;11021.0;101.0;601.0;1372.0;;355.0;89.0;;;;;;76.0;;74.0;740.0;25558.0;757.0;11.0;;;;389.0;;;167.0;;2.0;;;1.0;;;;;;;13.0;;178.0;;;;;;;;257.0;;;;41762
DUMONT;82.0;;8.0;;;207.0;47.0;;;;;;76.0;;;79.0;1177.0;524.0;;;;;255.0;;;18.0;;;;;;;;;;;;26.0;;;;;;;;;;18.0;;;;2517
ECHAPOR�;314.0;;;;;1.0;43.0;;;;;;;;;216.0;3244.0;420.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4238
ELDORADO;10.0;;;6788.0;;258.0;142.0;;;;;;50.0;;;;3689.0;;64.0;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;11006
ELIAS FAUSTO;5840.0;;147.0;10527.0;;1043.0;171.0;;;;;;19.0;;4.0;800.0;15804.0;439.0;;;;;607.0;;;4.0;;;;;;;;;;;;81.0;;;;;;;;;;28.0;;;;35514
ELISI�RIO;1.0;150.0;;;;;;;;;;;;;;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.0;;;527;722
EMBA�BA;88.0;24.0;60.0;;;;;;;;;;;;;100.0;5321.0;84.0;;;;;218.0;;;6.0;;;;;;;;;;;;16.0;;;;;;;;;;12.0;;;;5929
EMBU DAS ARTES;892.0;347.0;4529.0;983.0;;8210.0;3979.0;34.0;;;;;706.0;;;3602.0;150210.0;45.0;151.0;;1968.0;;1368.0;;;116.0;;56.0;;9.0;;;;;;;;348.0;;;19.0;;;;;;;;19.0;;;177591
EMBU-GUA�U;2.0;305.0;5744.0;;;2231.0;150.0;;;;;;949.0;;;2054.0;39533.0;200.0;;;;;6.0;;;49.0;;;;;;;;;;;;6.0;;;;;;;;;;;;;;51229
EMILIAN�POLIS;;34.0;;;;;;;;;;;4.0;;;;125.0;208.0;;;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;24.0;;;;418
ENGENHEIRO COELHO;694.0;;165.0;;;673.0;179.0;;;;16.0;;154.0;;;259.0;14751.0;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;16926
ESP�RITO SANTO DO PINHAL;11291.0;376.0;1232.0;13549.0;;1620.0;150.0;145.0;1.0;;;;639.0;;;3179.0;32726.0;1589.0;71.0;;;8.0;1182.0;90.0;;222.0;;8.0;;;;6.0;;;;;1.0;189.0;;;;;;;;;;33.0;;;;68307
ESP�RITO SANTO DO TURVO;1697.0;70.0;609.0;;;;;;;;;;62.0;;;986.0;7925.0;183.0;;;;;53.0;;;;;;;;;;;;;;;29.0;;;;;;;;;;25.0;;;;11639
ESTIVA GERBI;3786.0;;143.0;4826.0;;550.0;;;;;;;127.0;;;534.0;11871.0;;3.0;;;;;;;3.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;21844
ESTRELA D'OESTE;67.0;53.0;2.0;2862.0;1.0;375.0;;;;;;;172.0;;;12.0;4580.0;305.0;;;;;;;;35.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;8468
ESTRELA DO NORTE;;23.0;;;;;;;;;;;;;;;;192.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215
EUCLIDES DA CUNHA PAULISTA;2306.0;30.0;9.0;3666.0;;;18.0;;;;;;83.0;;;;12048.0;279.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1038;19477
FARTURA;32.0;174.0;23.0;344.0;;681.0;;;;;;;104.0;;;75.0;4446.0;140.0;121.0;;;;;;;32.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;6173
FERNANDO PRESTES;;52.0;;1826.0;;;;;;;;;28.0;;;11.0;310.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;;;1403;3645
FERNAND�POLIS;8772.0;426.0;1377.0;25882.0;;3728.0;905.0;;;;;;727.0;;1.0;563.0;27208.0;271.0;;;;;1920.0;;;258.0;;8.0;;;;;10.0;3.0;;;;579.0;;;;;;;;;;557.0;;;3976;77171
FERN�O;7.0;;;;;;;;;;;;;;;;;51.0;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;70
FERRAZ DE VASCONCELOS;11891.0;1885.0;1583.0;72901.0;;1215.0;757.0;;;;;;572.0;;;1168.0;20400.0;2319.0;;;;;1139.0;440.0;;21.0;;8.0;;;;;;;;;;744.0;;;;;;;;;;26.0;;;;117069
FLORA RICA;293.0;36.0;132.0;;;;;;;;;;;;;121.0;1910.0;114.0;;;;;37.0;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;400;3046
FLOREAL;28.0;55.0;;;;;;;;;;;;;;;85.0;455.0;;;;;123.0;;;;;;;;;;;;;;;5.0;;;;;;;;;;;;;;751
FL�RIDA PAULISTA;8974.0;;238.0;;;;;;;;;;17.0;;;267.0;7452.0;216.0;;;;;250.0;;;;;;;;;;;;;;;28.0;;;;;;;;;;17.0;;;;17459
FRANCA;18291.0;4.0;24102.0;125487.0;1434.0;14383.0;4596.0;;94.0;43.0;161.0;;15402.0;;;14341.0;338221.0;101.0;372.0;;1614.0;;2485.0;;;1253.0;;397.0;140.0;28.0;2.0;;;;;;2.0;556.0;;25.0;19.0;;;;;;;148.0;17.0;;12018;575736
FRANCISCO MORATO;1897.0;51.0;347.0;60281.0;11.0;5745.0;627.0;;;;;;918.0;;254.0;3866.0;91264.0;468.0;91.0;;1813.0;;1184.0;;;127.0;;50.0;;;1.0;3.0;;;;;;65.0;;;21.0;;;;;;;;12.0;;;169096
FRANCO DA ROCHA;2233.0;777.0;48.0;76955.0;14.0;5816.0;1704.0;;;;;;574.0;;2.0;4598.0;94414.0;3038.0;;;2713.0;;436.0;;;34.0;;;;;;;;;;;;65.0;;;8.0;;;;;;;;18.0;;;193447
GABRIEL MONTEIRO;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
G�LIA;4109.0;;31.0;2866.0;;280.0;;;;;;;96.0;;;329.0;7925.0;202.0;;;;;400.0;;;34.0;;5.0;;;;;;;;;;47.0;;;;;;;;;;21.0;;;2590;18935
GAR�A;10866.0;84.0;805.0;10522.0;24.0;2723.0;17.0;;;;9.0;;1545.0;;;3670.0;57890.0;1286.0;101.0;;;;2368.0;1.0;;145.0;;11.0;24.0;6.0;3.0;1.0;;;;;;526.0;;;;;;;;;;94.0;;;;92721
GAST�O VIDIGAL;;44.0;;537.0;;;;;;;;;;;;;47.0;;;;;;382.0;;;;;;;;;;;;;;;41.0;;;;;;;;;;;;;;1051
GAVI�O PEIXOTO;;71.0;;139.0;;205.0;7.0;;;;;;14.0;;;116.0;4866.0;200.0;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;5625
GENERAL SALGADO;110.0;55.0;19.0;2321.0;;284.0;57.0;;;;;;89.0;;;;3796.0;255.0;;;;;461.0;;;21.0;;2.0;;;;;;;;;;101.0;;;;;;;;;;27.0;;;;7598
GETULINA;8915.0;33.0;316.0;103.0;;231.0;;;;;;;65.0;;;1015.0;18395.0;100.0;;;;;368.0;;;22.0;;;;;;;;;;;;59.0;;;;;;;;;;18.0;;;;29640
GLIC�RIO;2586.0;613.0;414.0;;;;;;;;;;14.0;;;490.0;5841.0;318.0;;;;;;;;61.0;;;;;;;;;;;;;;;;;;;;;;;;;931;11268
GUAI�ARA;6226.0;44.0;291.0;;;55.0;155.0;;;;;;48.0;;;813.0;10014.0;253.0;;;;;302.0;;;10.0;;;;;;;;;;;;53.0;;;;;;;;;;23.0;;;;18287
GUAIMB�;2469.0;33.0;;;;182.0;;;;;;;15.0;;;;1656.0;476.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.0;;;;4851
GUA�RA;24883.0;174.0;1388.0;19948.0;;2029.0;898.0;359.0;;;20.0;;705.0;;;2399.0;52446.0;853.0;22.0;;;;1267.0;2.0;;97.0;;8.0;28.0;;;;1.0;;;;;301.0;7.0;76.0;;;;;;;;47.0;;;3744;111702
GUAPIA�U;19488.0;160.0;470.0;7759.0;;649.0;338.0;;;;;;208.0;;;1545.0;29977.0;1535.0;;;;;1919.0;;;69.0;;110.0;;;;;;;;;;194.0;;;;;;;;;;35.0;;;173;64629
GUAPIARA;;3886.0;;4379.0;;376.0;114.0;;;;;;94.0;;415.0;;1728.0;248.0;;;;;;39.0;;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;11306
GUAR�;4806.0;39.0;298.0;2139.0;;1608.0;75.0;;;;;;284.0;;;693.0;15110.0;226.0;8.0;;;;837.0;18.0;;13.0;;2.0;;;;;;;;;;177.0;;;;;;;;;;45.0;;;;26378
GUARA�A�;1834.0;2435.0;45.0;;;;;;;;;;;;;477.0;8856.0;30.0;;;;;283.0;;;26.0;;;;;;;;;;;;6.0;;;;;;;;;;;;;;13992
GUARACI;16837.0;7.0;3413.0;3767.0;;585.0;131.0;;;;;;3040.0;;;1261.0;12048.0;290.0;;;;;244.0;31.0;;48.0;;24.0;;;;;;;;;1.0;24.0;;;;;;;;;;;;;;41751
GUARANI D'OESTE;;18.0;;;;;;;;;;;17.0;;;;587.0;628.0;;;;;;1.0;;47.0;;;;;;;;;;;;;;;;;;;;;;;;;3046;4344
GUARANT�;2267.0;32.0;206.0;;;;;;;;;;;;;378.0;3289.0;35.0;;;;;83.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;6298
GUARARAPES;5345.0;113.0;175.0;3872.0;;1280.0;72.0;;;;111.0;;517.0;;;1257.0;31324.0;792.0;;;;;1322.0;;;73.0;;27.0;;;;;;;;;;169.0;;;;;;;;;;245.0;;;1861;48555
GUARAREMA;1096.0;190.0;1077.0;14874.0;578.0;2211.0;502.0;;;;12.0;;1346.0;;;1906.0;23117.0;3008.0;30.0;;;;762.0;;;57.0;;;1.0;;;2.0;;;;;;130.0;;;;;;;;;;;;;;50899
GUARATINGUET�;818.0;288.0;101.0;37468.0;327.0;238.0;742.0;177.0;60.0;12.0;35.0;;806.0;;;517.0;18841.0;157.0;1.0;335.0;1352.0;;1050.0;196.0;;342.0;;;;;;;;;;;;286.0;;;17.0;;;;;;;;6.0;;5994;70166
GUARE�;10312.0;16.0;5427.0;6196.0;;380.0;105.0;;;;;;139.0;;;1038.0;16904.0;612.0;;;;;841.0;;;128.0;;;;;;;;;;;;152.0;;;;;;;;;;;;;;42250
GUARIBA;14533.0;353.0;53.0;12253.0;100.0;1973.0;467.0;51.0;3.0;;56.0;;608.0;3.0;;635.0;27151.0;1148.0;7.0;;;3.0;2283.0;;;64.0;;397.0;;;;;;;;;;350.0;1.0;;;;;;;;;78.0;;;2488;65058
GUARUJ�;975.0;18.0;6199.0;157344.0;2531.0;12707.0;2127.0;1410.0;78.0;;244.0;;4032.0;804.0;;9214.0;266005.0;3677.0;1843.0;548.0;1708.0;756.0;1698.0;38.0;;771.0;;174.0;92.0;25.0;7.0;34.0;20.0;;;1.0;;155.0;;21.0;14.0;;;;;;;93.0;8.0;;;475371
GUARULHOS;2073.0;20512.0;13993.0;446266.0;4291.0;25884.0;6585.0;1797.0;510.0;;378.0;;6969.0;36.0;750.0;16081.0;467320.0;1949.0;438.0;;8305.0;8.0;3422.0;381.0;;1850.0;;321.0;28.0;;26.0;12.0;41.0;;;;;907.0;;189.0;79.0;;;;;;;336.0;157.0;;246;1032140
GUATAPAR�;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;2;15
GUZOL�NDIA;1455.0;42.0;13.0;;;3.0;;;;;;;;;;335.0;5798.0;;;;;;153.0;;;;;;;;;;;;;;;29.0;;;;;;;;;;;;;;7828
HERCUL�NDIA;2099.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.0;;;;2139
HOLAMBRA;1583.0;95.0;241.0;;;576.0;1.0;;;;;;1.0;;;450.0;14302.0;;;;;;91.0;;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;17355
HORTOL�NDIA;5661.0;155.0;2841.0;90527.0;105.0;9821.0;2291.0;53.0;103.0;;269.0;;1757.0;;1.0;5437.0;167669.0;1303.0;18.0;;1990.0;8.0;1489.0;3.0;;1433.0;;13.0;20.0;;;24.0;;;;;;93.0;1.0;205.0;23.0;;;;;;;;13.0;;;293326
IACANGA;1153.0;103.0;;492.0;;111.0;;;;;;;;;;;3661.0;;;;;;16.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;20.0;;;;5557
IACRI;4212.0;;377.0;;;18.0;;;;;;;5.0;;;479.0;8267.0;228.0;;;;;290.0;;;;;1.0;;;;;;;;;;46.0;;;;;;;;;;12.0;;;;13935
IARAS;;;;;;;;;;;;;;;;;753.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;753
IBAT�;3460.0;;119.0;9346.0;;419.0;341.0;;;;;;253.0;;;1204.0;26038.0;751.0;17.0;;;;493.0;39.0;;18.0;;1.0;;;;;;;;;;62.0;;;;;;;;;;;;;;42561
IBIR�;1.0;69.0;;4128.0;;692.0;340.0;;;;;;13.0;;;93.0;5599.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;24.0;;;;10960
IBIRAREMA;6821.0;90.0;40.0;4399.0;;437.0;108.0;;;;;;44.0;;;959.0;18529.0;265.0;;;;;900.0;;;50.0;;;;;;;;;;;;44.0;;;;;;;;;;20.0;;;1022;33728
IBITINGA;12685.0;396.0;2809.0;8662.0;;2635.0;168.0;91.0;22.0;;;;869.0;;;4766.0;46137.0;1606.0;4.0;;;3.0;;2.0;;147.0;;;;;;;8.0;;;;;;;37.0;;;;;;;;65.0;;;;81112
IBI�NA;15.0;;286.0;;;4304.0;;;;;;;1063.0;;;6004.0;164383.0;;978.0;;;;;400.0;;89.0;;210.0;;;;;;;;;;;;;;;;;;;;;;;;177732
IC�M;6.0;19.0;1.0;704.0;;6.0;;;;;;;49.0;;;242.0;6141.0;146.0;;;;;132.0;;;15.0;;;;;;;;;;;;8.0;;;;;;;;;;;;;1041;8510
IEP�;3487.0;83.0;;2517.0;;463.0;100.0;;;;;;126.0;;;147.0;6057.0;;12.0;;;;;13.0;;31.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;13040
IGARA�U DO TIET�;8918.0;47.0;73.0;8332.0;;121.0;275.0;;;;;;91.0;;;480.0;8942.0;1430.0;;;;;1290.0;;;;;14.0;;;;;;;;;;113.0;;;;;;;;;;42.0;;;2495;32663
IGARAPAVA;9822.0;183.0;104.0;9998.0;;780.0;204.0;378.0;61.0;;9.0;;100.0;1.0;;624.0;25897.0;461.0;;;;1.0;629.0;;;50.0;;5.0;;;2.0;4.0;;;;;;145.0;;4.0;;;;;;;;20.0;;;;49482
IGARAT�;3.0;56.0;52.0;;;;;;;;;;;;;459.0;5516.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2997;9083
IGUAPE;393.0;63.0;1256.0;;;1704.0;;;;;;;142.0;;;749.0;11298.0;;;;;;;;;52.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;15658
ILHA COMPRIDA;491.0;229.0;;12244.0;;1386.0;;;;;;;135.0;;450.0;719.0;13732.0;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;29393
ILHA SOLTEIRA;8695.0;56.0;238.0;;;6.0;;;;;;;;;;999.0;21010.0;;;;;;255.0;143.0;;1.0;;;;;;;;;;;;97.0;;;;;;;;;;;;;;31500
ILHABELA;18696.0;388.0;123.0;39522.0;197.0;2406.0;908.0;581.0;;;3.0;;597.0;;;165.0;39338.0;754.0;1.0;;;6.0;211.0;267.0;;229.0;;12.0;;;1.0;;;;;;;48.0;1.0;7.0;;;;;;;;15.0;;;5783;110259
INDAIATUBA;9325.0;4457.0;4466.0;208058.0;734.0;11092.0;4517.0;461.0;328.0;;145.0;;7213.0;86.0;;4140.0;162243.0;1474.0;55.0;;1435.0;52.0;1337.0;775.0;;533.0;;104.0;58.0;4.0;;1.0;7.0;;;;;72.0;;7.0;2.0;;;;;;;341.0;2.0;;;423524
INDIANA;;22.0;;814.0;;;;;;;;;;;;;;448.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1284
INDIAPOR�;27.0;20.0;;2305.0;;158.0;;;;;;;44.0;;;;2061.0;549.0;2.0;;;;;;;4.0;;2.0;;;;;;;;;;;;;;;;;;;;52.0;;;1687;6911
IN�BIA PAULISTA;4553.0;;234.0;;;7.0;28.0;;;;;;15.0;;;238.0;3202.0;88.0;;;;;446.0;;;1.0;;2.0;;;;;;;;;;21.0;;;;;;;;;;11.0;;;;8846
IPAUSSU;1694.0;;154.0;484.0;;524.0;;;;;;;68.0;;;113.0;8013.0;230.0;27.0;;;;733.0;;;12.0;;17.0;;;;;;;;;;78.0;;;;;;;;;;40.0;;;;12187
IPER�;;126.0;1368.0;3502.0;;979.0;130.0;;;;;;;;;;25241.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31346
