municipio;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
;Apuarema;-13,8542;-39,7501;;29;3257;73;America/Sao_Paulo
;Apucarana;-23,55;-51,4635;;41;7425;43;America/Sao_Paulo
;Apuí;-7,19409;-59,896;;13;969;97;America/Porto_Velho
;Apuiarés;-3,94506;-39,4359;;23;1317;85;America/Sao_Paulo
;Aquidabã;-10,278;-37,0148;;28;3103;79;America/Sao_Paulo
;Aquidauana;-20,4666;-55,7868;;50;9021;67;America/Porto_Velho
;Aquiraz;-3,89929;-38,3896;;23;1319;85;America/Sao_Paulo
;Arabutã;-27,1587;-52,1423;;42;5597;49;America/Sao_Paulo
;Araçagi;-6,84374;-35,3737;;25;1915;83;America/Sao_Paulo
;Araçaí;-19,1955;-44,2493;;31;4063;31;America/Sao_Paulo
;Aracaju;-10,9091;-37,0677;1.0;28;3105;79;America/Sao_Paulo
ARACARIGUAMA;Araçariguama;-23,4366;-47,0608;;35;3067;11;America/Sao_Paulo
;Araças;-12,22;-38,2027;;29;3259;75;America/Sao_Paulo
;Aracati;-4,55826;-37,7679;;23;1321;88;America/Sao_Paulo
;Aracatu;-14,428;-41,4648;;29;3339;77;America/Sao_Paulo
ARACATUBA;Araçatuba;-21,2076;-50,4401;;35;6155;18;America/Sao_Paulo
;Araci;-11,3253;-38,9584;;29;3341;75;America/Sao_Paulo
;Aracitaba;-21,3446;-43,3736;;31;4065;32;America/Sao_Paulo
;Araçoiaba;-7,78391;-35,0809;;26;544;81;America/Sao_Paulo
;Aracoiaba;-4,36872;-38,8125;;23;1323;85;America/Sao_Paulo
ARACOIABA DA SERRA;Araçoiaba da Serra;-23,5029;-47,6166;;35;6157;15;America/Sao_Paulo
;Aracruz;-19,82;-40,2764;;32;5611;27;America/Sao_Paulo
;Araçu;-16,3563;-49,6804;;52;9231;62;America/Sao_Paulo
;Araçuaí;-16,8523;-42,0637;;31;4067;33;America/Sao_Paulo
