instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Campinas - SP;CAMPINAS;SP;1223237;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;8143599534.7
Prefeitura Municipal de Valinhos - SP;VALINHOS;SP;133169;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;972273114.67
Prefeitura Municipal de Sï¿½o Caetano do Sul - SP;SAO CAETANO DO SUL;SP;162763;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2042467800.2
Prefeitura Municipal de Itu - SP;ITU;SP;177150;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1209104445.11
Prefeitura Municipal de Capï¿½o Bonito - SP;CAPAO BONITO;SP;47098;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;237788073.91
Prefeitura Municipal de Pinhalzinho - SP;PINHALZINHO;SP;15564;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;66087253.56
Prefeitura Municipal de Jambeiro - SP;JAMBEIRO;SP;6828;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;57112868.24
Prefeitura Municipal de Areias - SP;AREIAS;SP;3906;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48300831.74
Prefeitura Municipal de Sï¿½o Josï¿½ do Barreiro - SP;SAO JOSE DO BARREIRO;SP;4141;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;48070309.1
Prefeitura Municipal de Mogi das Cruzes - SP;MOGI DAS CRUZES;SP;455587;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;2379475027.98
Prefeitura Municipal de ï¿½guas de Sï¿½o Pedro - SP;AGUAS DE SAO PEDRO;SP;3588;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44629425.44
Prefeitura Municipal de Guapiara - SP;GUAPIARA;SP;16896;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;89109601.0
Prefeitura Municipal de Ipuï¿½ - SP;IPUA;SP;16794;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;101936054.09
